pair_id,event_role,selection_role,tic_id,variant_id,input_sha256,n_samples,valid_decisions,selected_seed_count,primary_status,published_period_s,estimated_period_median_s,estimated_period_min_s,estimated_period_max_s,period_absolute_difference_median_s,period_relative_difference_median_percent,published_bic_m0_m1,delta_bic_0_1_median,delta_bic_0_1_min,delta_bic_0_1_max,delta_bic_0_1_difference_median,published_bic_m2_m1,delta_bic_2_1_median,delta_bic_2_1_min,delta_bic_2_1_max,delta_bic_2_1_difference_median,fft_bins_after_cutoff_values,rows_at_bound,warning_rows,warning_count_total,convergence_status
P1,published_qpp,highest_margin,24518895,P1_published_qpp_pdcsap_all,77829470d950f7e0d7a7f022ef1bdf8bdfe4b92a7432b478c979e2fa599e6d10,27,10,10,STABLE_REPRODUCTION,56.05823638,56.058234572029825,56.05820843383256,56.05824516433813,2.6558916097485508e-06,4.737736648982589e-06,17.55796487,17.557964236155563,17.55796423519788,17.55796423626068,-6.338444364928364e-07,19.98756342,19.98756291297277,19.9875629063283,22.163153669791065,-5.07027230867152e-07,[13],20,2,31,NOT_AUDITABLE
P1,not_selected_qpp,matched_not_selected,24518895,P1_not_selected_qpp_pdcsap_all,ea378b99ea263c79e7728b2ffcc295dc87e02cce36313d2b95b451ae4e263156,34,10,0,STABLE_NOT_SELECTED,,104.4147947930043,104.4146383223971,104.41514783054805,,,,-5.844745687806721,-5.844745698925962,-5.844745687403936,,,-1.4358796696664022,-1.435879701653711,-0.5664595021875982,,[16],8,4,38,NOT_AUDITABLE
P2,published_qpp,near_threshold,220433364,P2_published_qpp_pdcsap_all,3c5f4f44ea6b44d1ccad5b0a621be05a6a900d8536f587f2ef3938852d056738,152,10,10,STABLE_REPRODUCTION,73.20971864,73.2097457383199,73.20962119281812,73.20998036434351,3.490987268861545e-05,4.768475188421438e-05,10.543015,10.543010872610637,10.543010841860564,10.54301087558747,-4.12738936361734e-06,12.71921134,12.71920721064754,12.719204622645861,12.719212477608266,-4.129352459969482e-06,[75],10,7,47,NOT_AUDITABLE
P2,not_selected_qpp,matched_not_selected,220433364,P2_not_selected_qpp_pdcsap_all,55a253f12fd2bf7eb0e0330e8f30faf2d097ccdae785b609f61bdc7fc09d4901,178,10,0,STABLE_NOT_SELECTED,,83.35891025855014,83.3588587171366,83.35909903424661,,,,-4.491040177246759,-4.491040195993492,-4.49104017514901,,,0.1377867306994176,0.1377866067721243,0.1404070852690893,,[88],10,10,142,NOT_AUDITABLE
P3,published_qpp,shortest_period,225953237,P3_published_qpp_pdcsap_all,7c0c3556d3b458c4703407fdf64b4a846b111e5a91299df86e2bb3232f3ae55d,19,10,10,STABLE_REPRODUCTION,44.03128221,44.0313237960962,44.03088430735518,44.031620309644154,4.720412114522787e-05,0.00010720587449644446,11.61905655,11.619055695372671,11.61905567762635,11.619055695756636,-8.546273289056217e-07,14.45167103,14.45167031923617,14.45167026122263,15.883389952459046,-7.107638300141161e-07,[9],20,6,38,NOT_AUDITABLE
P3,not_selected_qpp,matched_not_selected,225953237,P3_not_selected_qpp_pdcsap_all,90103d690adfba408870a24cfdb864436249b3b91215db56db40d72a7ecf26ba,16,10,0,STABLE_NOT_SELECTED,,49.0139254238331,49.0137919238079,49.01406245278601,,,,-5.192861402923999,-5.192861764480387,-5.19286132770122,,,-1.5081014085717577,-1.8900529676858966,-1.3010410851457443,,[7],15,3,24,NOT_AUDITABLE
P4,published_qpp,longest_period,160619243,P4_published_qpp_pdcsap_all,955b1aa8163244f69d19993ce02d90cdbe661f7ef0d4086ac981a3acca235bb2,42,10,10,STABLE_REPRODUCTION,60.05392234,60.05392866242701,60.05391261010268,60.05393905801361,6.489243336460504e-06,1.0805694421958224e-05,13.50380923,13.503809579814352,13.503809579327523,13.503809579836485,3.4981435170777786e-07,17.7063444,17.70637199215119,17.70634486201581,19.40753916137696,2.759215119141345e-05,[20],20,7,65,NOT_AUDITABLE
P4,not_selected_qpp,matched_not_selected,160619243,P4_not_selected_qpp_pdcsap_all,bb439aad999833bc50317fbef459d0888d042eb13c0dd6d8546f22b379b156fd,44,10,0,STABLE_NOT_SELECTED,,53.71097961243502,53.7108912305204,53.71099883158275,,,,-7.779819018456738,-7.779819030280464,-7.779819018300856,,,-2.7186348891781087,-3.8860933113144895,-1.6907741431477987,,[21],19,4,39,NOT_AUDITABLE
