event_role,tic_id,catalog_start_tbjd,catalog_peak_tbjd,catalog_end_tbjd,sector,mast_product_id,mast_uri,filename,file_size_bytes,file_sha256,time_min,time_max,time_reference_match,bjdrefi,bjdreff,timesys,timeref,timeunit,cadence_median_s,n_window_cadences,n_sap_finite,n_pdcsap_finite,n_quality_zero,n_quality_nonzero,max_gap_s,fully_covered,matching_method,download_status,download_url
published_qpp_detection,67378184,2505.134541,2505.135235,2505.137782,44,68724499,mast:TESS/product/tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,tess2021284114741-s0044-0000000067378184-0215-a_fast-lc.fits,10512000,926e45c3ff6aeee9e9332d59c1b4f4456e89d62062483257e86d1f18d09c1aff,2500.180335,2524.44291399,True,2457000,0,TDB,SOLARSYSTEM,d,20.0020154283,14,14,14,14,0,20.0020154676,True,qpp_to_flare_tic_and_start_rounded_6dp,COMPLETE,
not_selected_as_qpp,67378184,2535.256201,2535.256895,2535.259442,45,71234876,mast:TESS/product/tess2021310001228-s0045-0000000067378184-0216-a_fast-lc.fits,tess2021310001228-s0045-0000000067378184-0216-a_fast-lc.fits,10883520,4ae5baf9ef29ec027704cb59d606a13565a68608cae97021dbc9c07c1dc92bea,2525.5022738,2550.62921799,True,2457000,0,TDB,SOLARSYSTEM,d,20.0017612995,14,14,14,13,1,20.0017614174,True,same_tic_nearest_duration,COMPLETE,
