planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,resolved_decision_status
F3ADP000036,20,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000036,F3AC036,WEm2,P05,0,F3APAY000020,9da6f10c1113fef97d5df6ba3778cc001b6bcd2129a4cd42bd4fa5600aab75c1,28,READY_FOR_AFINO
F3ADP000037,21,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000037,F3AC037,WEm1,P00,0,F3APAY000021,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,29,READY_FOR_AFINO
F3ADP000038,22,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000038,F3AC038,WEm1,P01,0,F3APAY000022,47b9968df9e00b49769f1a37549d08583f802e9f8f839d79dc31e5698242a90b,29,READY_FOR_AFINO
F3ADP000041,23,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000041,F3AC041,WEm1,P04,0,F3APAY000023,ec55342d33d49222301cdda6f7d385478397294f51b89158eb84b428be908b64,29,READY_FOR_AFINO
F3ADP000042,24,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000042,F3AC042,WEm1,P05,0,F3APAY000024,7e1df7898ca977357ca6c741941c000598831cb527fb5d3bb7202df83fe074fb,29,READY_FOR_AFINO
F3ADP000043,25,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000043,F3AC043,WEp1,P00,0,F3APAY000025,a4b8cc8929fd344468d068b4b564cfa37e4c9da4df14a30a317a897f36a929f4,31,READY_FOR_AFINO
F3ADP000044,26,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000044,F3AC044,WEp1,P01,0,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,31,READY_FOR_AFINO
F3ADP000047,27,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000047,F3AC047,WEp1,P04,0,F3APAY000027,455851c21fd6f812e47458aebc84268323159bfae0b499accff7b521f3fce691,31,READY_FOR_AFINO
F3ADP000048,28,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000048,F3AC048,WEp1,P05,0,F3APAY000028,7b2320537f54e5b9ec0b9ca0275db0171e713c708d078d491ec77fa722b39e17,31,READY_FOR_AFINO
F3ADP000049,29,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000049,F3AC049,WEp2,P00,0,F3APAY000029,9cbcba86f66dd6b6b6501221b818afc1aa26b2941001c90493d3480f1eb7b068,32,READY_FOR_AFINO
F3ADP000050,30,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000050,F3AC050,WEp2,P01,0,F3APAY000030,0f4b3b2fb0b4e314b887ca903e963e5e0a630e37e5f1e7389b2e5a510deea4ff,32,READY_FOR_AFINO
F3ADP000053,31,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000053,F3AC053,WEp2,P04,0,F3APAY000031,5c82d62800ed0d8ee1c6331fa87719dae8df40cc273f0642f4aa6b817ed500bb,32,READY_FOR_AFINO
F3ADP000054,32,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000054,F3AC054,WEp2,P05,0,F3APAY000032,85ec81818881e8965328a203d55aded6bac2bdcb26d46b941edede74e9347584,32,READY_FOR_AFINO
F3ADP000055,33,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000055,F3AC055,WX1,P00,0,F3APAY000033,8e0fecb18a148d7ebf4ee4d70a855340ec9729858c6963d3e04c8fdec4802060,32,READY_FOR_AFINO
