phase3a_event_id,tic_id,sector,product_status,product_identifier,product_uri_or_archive_key,physical_filename,physical_sha256,size_bytes,fits_checksum_status,fits_datasum_status,time_column_present,sap_flux_present,pdcsap_flux_present,quality_present,n_rows,median_cadence_s,source_start_index,source_peak_index,source_end_index,start_mapping_residual_s,peak_mapping_residual_s,end_mapping_residual_s,time_mapping_status,candidate_product_count,candidate_datauris_json,selected_prvversion,mast_obsid,timesys,bjdrefi,bjdreff,timeunit,header_ticid,header_sector
F3AE000011,159503663,47,BOUND_DOWNLOADED,tess2021364111932-s0047-0000000159503663-0218-a_fast-lc.fits,mast:TESS/product/tess2021364111932-s0047-0000000159503663-0218-a_fast-lc.fits,tess2021364111932-s0047-0000000159503663-0218-a_fast-lc.fits,d7d89fede57eb733b0420fe2892fac86f132380725e0ab2317465d282eca8747,11756160,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,117270,19.999810188892297,78495,78499,78516,-0.031380431,-0.038560042,-0.025858119,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021364111932-s0047-0000000159503663-0218-a_fast-lc.fits""]",spoc-5.0.58-20220120,71656855,TDB,2457000,0.0,d,159503663,47
F3AE000012,159503663,53,BOUND_DOWNLOADED,tess2022164095748-s0053-0000000159503663-0226-a_fast-lc.fits,mast:TESS/product/tess2022164095748-s0053-0000000159503663-0226-a_fast-lc.fits,tess2022164095748-s0053-0000000159503663-0226-a_fast-lc.fits,27d8b0397b7391900a6d60e7198e2e826d75f976fd7b0b34fcecac8209779d83,10825920,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,107955,19.999930181074888,85296,85300,85326,0.008858637,0.002611853,-0.037997132,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2022164095748-s0053-0000000159503663-0226-a_fast-lc.fits""]",spoc-5.0.72-20220608,87748479,TDB,2457000,0.0,d,159503663,53
F3AE000013,160619243,49,BOUND_DOWNLOADED,tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,mast:TESS/product/tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,b6fdc4e7f35d6c3b42037fafe8f11fcd833caac4f2a1d18f877479e689f04b97,11629440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,115995,19.999593778629787,108914,108920,108955,0.036196424,0.024058275,-0.003544248,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits""]",spoc-5.0.64-20220407,82439668,TDB,2457000,0.0,d,160619243,49
F3AE000014,160619243,49,BOUND_DOWNLOADED,tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,mast:TESS/product/tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits,b6fdc4e7f35d6c3b42037fafe8f11fcd833caac4f2a1d18f877479e689f04b97,11629440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,115995,19.999593778629787,82103,82107,82134,0.026392583,0.018362458,0.007383448,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2022057073128-s0049-0000000160619243-0221-a_fast-lc.fits""]",spoc-5.0.64-20220407,82439668,TDB,2457000,0.0,d,160619243,49
F3AE000015,167551757,33,BOUND_DOWNLOADED,tess2020351194500-s0033-0000000167551757-0203-a_fast-lc.fits,mast:TESS/product/tess2020351194500-s0033-0000000167551757-0203-a_fast-lc.fits,tess2020351194500-s0033-0000000167551757-0203-a_fast-lc.fits,053846ef9266850a39e9c6839241c3a6156e2b720a4cf5ce114cb05a04236281,11197440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,111660,20.000139440526254,110601,110603,110621,0.016747907,0.013708616,-0.013642765,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020351194500-s0033-0000000167551757-0203-a_fast-lc.fits""]",spoc-5.0.22-20210121,28230056,TDB,2457000,0.0,d,167551757,33
F3AE000016,167551757,33,BOUND_DOWNLOADED,tess2020351194500-s0033-0000000167551757-0203-a_fast-lc.fits,mast:TESS/product/tess2020351194500-s0033-0000000167551757-0203-a_fast-lc.fits,tess2020351194500-s0033-0000000167551757-0203-a_fast-lc.fits,053846ef9266850a39e9c6839241c3a6156e2b720a4cf5ce114cb05a04236281,11197440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,111660,20.000139440526254,70180,70183,70194,0.026608875,-0.020912547,0.006437498,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020351194500-s0033-0000000167551757-0203-a_fast-lc.fits""]",spoc-5.0.22-20210121,28230056,TDB,2457000,0.0,d,167551757,33
F3AE000017,213105608,32,BOUND_DOWNLOADED,tess2020324010417-s0032-0000000213105608-0200-a_fast-lc.fits,mast:TESS/product/tess2020324010417-s0032-0000000213105608-0200-a_fast-lc.fits,tess2020324010417-s0032-0000000213105608-0200-a_fast-lc.fits,95f0643589a9bf1f925d27c7a1a346c63683c3bc3f077a7fb8b54df0f6b7621e,11269440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,112388,20.000071625690907,81574,81578,81588,-0.036361521,-0.043199386,0.026065846,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020324010417-s0032-0000000213105608-0200-a_fast-lc.fits""]",spoc-5.0.21-20210107,28141280,TDB,2457000,0.0,d,213105608,32
F3AE000018,176955267,32,BOUND_DOWNLOADED,tess2020324010417-s0032-0000000176955267-0200-a_fast-lc.fits,mast:TESS/product/tess2020324010417-s0032-0000000176955267-0200-a_fast-lc.fits,tess2020324010417-s0032-0000000176955267-0200-a_fast-lc.fits,aff9bd61f7325c0e16657cdcdac2a1e9754680a3575ae8e915b4135e4c8ad0db,11269440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,112388,20.000084119965322,73043,73045,73057,-0.029849450,-0.032840886,0.035618033,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020324010417-s0032-0000000176955267-0200-a_fast-lc.fits""]",spoc-5.0.21-20210107,28148946,TDB,2457000,0.0,d,176955267,32
F3AE000019,219790151,76,BOUND_DOWNLOADED,tess2024058030222-s0076-0000000219790151-0271-a_fast-lc.fits,mast:TESS/product/tess2024058030222-s0076-0000000219790151-0271-a_fast-lc.fits,tess2024058030222-s0076-0000000219790151-0271-a_fast-lc.fits,ab1effcdfadb2bb0acdeea3cd9d0a8fd274ea8b1af3e55328e16a12c959dc22c,11733120,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,117016,20.000187688856386,98998,99000,99032,-0.005263272,-0.008050202,0.033756504,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2024058030222-s0076-0000000219790151-0271-a_fast-lc.fits""]",spoc-5.0.104-20240131,214429419,TDB,2457000,0.0,d,219790151,76
F3AE000020,219790151,76,BOUND_DOWNLOADED,tess2024058030222-s0076-0000000219790151-0271-a_fast-lc.fits,mast:TESS/product/tess2024058030222-s0076-0000000219790151-0271-a_fast-lc.fits,tess2024058030222-s0076-0000000219790151-0271-a_fast-lc.fits,ab1effcdfadb2bb0acdeea3cd9d0a8fd274ea8b1af3e55328e16a12c959dc22c,11733120,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,117016,20.000187688856386,85144,85145,85174,0.027724716,-0.016906443,-0.015205689,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2024058030222-s0076-0000000219790151-0271-a_fast-lc.fits""]",spoc-5.0.104-20240131,214429419,TDB,2457000,0.0,d,219790151,76
