planned_decision_id,decision_order,variant_id,external_optimizer_seed,payload_id,n_samples,mean_dt_external,median_dt_external,afino_dt_m0,afino_dt_m1,afino_dt_m2,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_bin_count_m0,afino_bin_count_m1,afino_bin_count_m2,fftfreq_positive_match,legacy_median_dt_match,legacy_rfftfreq_match
F3ADP000001,1,F3AV000001,0,F3APAY000001,30,20.00016521623334,20.000171422725543,20.00016521623334,20.00016521623334,20.00016521623334,true,true,true,14,15,14,14,14,true,false,false
F3ADP000002,2,F3AV000002,0,F3APAY000002,30,20.00016521623334,20.000171422725543,20.00016521623334,20.00016521623334,20.00016521623334,true,true,true,14,15,14,14,14,true,false,false
F3ADP000005,3,F3AV000005,0,F3APAY000003,30,20.00016521623334,20.000171422725543,20.00016521623334,20.00016521623334,20.00016521623334,true,true,true,14,15,14,14,14,true,false,false
F3ADP000006,4,F3AV000006,0,F3APAY000004,30,20.00016521623334,20.000171422725543,20.00016521623334,20.00016521623334,20.00016521623334,true,true,true,14,15,14,14,14,true,false,false
F3ADP000007,5,F3AV000007,0,F3APAY000005,32,20.00016496899808,20.000171422725543,20.00016496899808,20.00016496899808,20.00016496899808,true,true,true,15,16,15,15,15,true,false,false
F3ADP000008,6,F3AV000008,0,F3APAY000006,32,20.00016496899808,20.000171422725543,20.00016496899808,20.00016496899808,20.00016496899808,true,true,true,15,16,15,15,15,true,false,false
F3ADP000011,7,F3AV000011,0,F3APAY000007,32,20.00016496899808,20.000171422725543,20.00016496899808,20.00016496899808,20.00016496899808,true,true,true,15,16,15,15,15,true,false,false
F3ADP000012,8,F3AV000012,0,F3APAY000008,32,20.00016496899808,20.000171422725543,20.00016496899808,20.00016496899808,20.00016496899808,true,true,true,15,16,15,15,15,true,false,false
F3ADP000013,9,F3AV000013,0,F3APAY000009,31,20.000165424426086,20.000171422725543,20.000165424426086,20.000165424426086,20.000165424426086,true,true,true,15,15,15,15,15,true,false,true
F3ADP000014,10,F3AV000014,0,F3APAY000010,31,20.000165424426086,20.000171422725543,20.000165424426086,20.000165424426086,20.000165424426086,true,true,true,15,15,15,15,15,true,false,true
F3ADP000017,11,F3AV000017,0,F3APAY000011,31,20.000165424426086,20.000171422725543,20.000165424426086,20.000165424426086,20.000165424426086,true,true,true,15,15,15,15,15,true,false,true
F3ADP000018,12,F3AV000018,0,F3APAY000012,31,20.000165424426086,20.000171422725543,20.000165424426086,20.000165424426086,20.000165424426086,true,true,true,15,15,15,15,15,true,false,true
F3ADP000019,13,F3AV000019,0,F3APAY000013,29,20.000164993169683,20.000171422725543,20.000164993169683,20.000164993169683,20.000164993169683,true,true,true,14,14,14,14,14,true,false,true
F3ADP000020,14,F3AV000020,0,F3APAY000014,29,20.000164993169683,20.000171422725543,20.000164993169683,20.000164993169683,20.000164993169683,true,true,true,14,14,14,14,14,true,false,true
F3ADP000023,15,F3AV000023,0,F3APAY000015,29,20.000164993169683,20.000171422725543,20.000164993169683,20.000164993169683,20.000164993169683,true,true,true,14,14,14,14,14,true,false,true
F3ADP000024,16,F3AV000024,0,F3APAY000016,29,20.000164993169683,20.000171422725543,20.000164993169683,20.000164993169683,20.000164993169683,true,true,true,14,14,14,14,14,true,false,true
F3ADP000031,17,F3AV000031,0,F3APAY000017,28,20.00016549573047,20.000171422725543,20.00016549573047,20.00016549573047,20.00016549573047,true,true,true,13,14,13,13,13,true,false,false
