phase3a_event_id,variant_id,window_variant_id,processing_profile_id,baseline_period_s,variant_period_s,signed_period_change_s,absolute_period_change_s,period_ratio_variant_to_baseline
F3AE000013,F3AV000937,W00,P00,60.05391261010268,60.05391261010268,0.0,0.0,1.0
F3AE000013,F3AV000941,W00,P04,60.05391261010268,60.053915692202736,3.0821000578384883e-06,3.0821000578384883e-06,1.0000000513222191
F3AE000013,F3AV000943,WSm2,P00,60.05391261010268,60.02129032594199,-0.0326222841606878,0.0326222841606878,0.9994567833677634
F3AE000013,F3AV000947,WSm2,P04,60.05391261010268,60.020604591860334,-0.03330801824234442,0.03330801824234442,0.9994453647265483
F3AE000013,F3AV000949,WSm1,P00,60.05391261010268,60.115595737662325,0.06168312755964678,0.06168312755964678,1.001027129205721
F3AE000013,F3AV000953,WSm1,P04,60.05391261010268,60.11531523619745,0.061402626094775314,0.061402626094775314,1.001022458378248
F3AE000013,F3AV000955,WSp1,P00,60.05391261010268,59.6124291068652,-0.4414835032374782,0.4414835032374782,0.9926485472128387
F3AE000013,F3AV000959,WSp1,P04,60.05391261010268,59.612817209273224,-0.44109540082945387,0.44109540082945387,0.9926550097794086
F3AE000013,F3AV000961,WSp2,P00,60.05391261010268,59.771545679248234,-0.28236693085444386,0.28236693085444386,0.9952981093390584
F3AE000013,F3AV000965,WSp2,P04,60.05391261010268,59.77296162421355,-0.2809509858891275,0.2809509858891275,0.9953216872360475
F3AE000013,F3AV000967,WEm2,P00,60.05391261010268,60.34594216871526,0.2920295586125832,0.2920295586125832,1.004862789881961
F3AE000013,F3AV000971,WEm2,P04,60.05391261010268,60.346760548728724,0.2928479386260463,0.2928479386260463,1.0048764173040206
F3AE000013,F3AV000973,WEm1,P00,60.05391261010268,59.84476815876972,-0.20914445133296056,0.20914445133296056,0.9965173884224526
F3AE000013,F3AV000977,WEm1,P04,60.05391261010268,59.8450990817556,-0.2088135283470791,0.2088135283470791,0.996522898854188
F3AE000013,F3AV000979,WEp1,P00,60.05391261010268,59.899988712851204,-0.15392389725147382,0.15392389725147382,0.9974369047650431
F3AE000013,F3AV000983,WEp1,P04,60.05391261010268,59.89961368258423,-0.15429892751844676,0.15429892751844676,0.9974306598719017
F3AE000013,F3AV000985,WEp2,P00,60.05391261010268,59.6178810617901,-0.4360315483125774,0.4360315483125774,0.9927393315545734
F3AE000013,F3AV000989,WEp2,P04,60.05391261010268,59.617610547537716,-0.4363020625649625,0.4363020625649625,0.9927348270312105
F3AE000013,F3AV000991,WX1,P00,60.05391261010268,59.79963328371039,-0.254279326392286,0.254279326392286,0.9957658158254703
F3AE000013,F3AV000995,WX1,P04,60.05391261010268,59.79965706459422,-0.25425554550845675,0.25425554550845675,0.9957662118177179
F3AE000013,F3AV000997,WC1,P00,60.05391261010268,60.07018477164848,0.01627216154579969,0.01627216154579969,1.0002709592237802
F3AE000013,F3AV001001,WC1,P04,60.05391261010268,60.07029277986393,0.016380169761248453,0.016380169761248453,1.000272757744655
F3AE000013,F3AV001003,WX2,P00,60.05391261010268,59.98887238579957,-0.06504022430311096,0.06504022430311096,0.998916969411712
F3AE000013,F3AV001007,WX2,P04,60.05391261010268,59.98864709887237,-0.065265511230308,0.065265511230308,0.9989132180003983
F3AE000013,F3AV001009,WC2,P00,60.05391261010268,59.71857204603265,-0.3353405640700302,0.3353405640700302,0.9944160080585055
F3AE000013,F3AV001013,WC2,P04,60.05391261010268,59.71894923101063,-0.334963379092045,0.334963379092045,0.9944222888312577
F3AE000019,F3AV001405,W00,P00,48.54942218392683,48.54942218392683,0.0,0.0,1.0
F3AE000019,F3AV001406,W00,P01,48.54942218392683,48.741452891324315,0.1920307073974854,0.1920307073974854,1.003955365455638
F3AE000019,F3AV001407,W00,P02,48.54942218392683,48.54942218392683,0.0,0.0,1.0
F3AE000019,F3AV001408,W00,P03,48.54942218392683,48.741452891324315,0.1920307073974854,0.1920307073974854,1.003955365455638
F3AE000019,F3AV001409,W00,P04,48.54942218392683,48.55179765345157,0.0023754695247433233,0.0023754695247433233,1.0000489288938548
F3AE000019,F3AV001410,W00,P05,48.54942218392683,48.74174692035696,0.19232473643013037,0.19232473643013037,1.0039614217384816
F3AE000019,F3AV001411,WSm2,P00,48.54942218392683,48.60462547530466,0.05520329137782909,0.05520329137782909,1.0011370535197863
F3AE000019,F3AV001412,WSm2,P01,48.54942218392683,48.721048023171285,0.17162583924445585,0.17162583924445585,1.0035350748067455
F3AE000019,F3AV001413,WSm2,P02,48.54942218392683,48.60462547530466,0.05520329137782909,0.05520329137782909,1.0011370535197863
F3AE000019,F3AV001414,WSm2,P03,48.54942218392683,48.721048023171285,0.17162583924445585,0.17162583924445585,1.0035350748067455
F3AE000019,F3AV001415,WSm2,P04,48.54942218392683,48.60685445329989,0.05743226937305934,0.05743226937305934,1.0011829650444752
F3AE000019,F3AV001416,WSm2,P05,48.54942218392683,48.72163748906738,0.17221530514055416,0.17221530514055416,1.0035472163703232
F3AE000019,F3AV001417,WSm1,P00,48.54942218392683,47.95977729516135,-0.589644888765477,0.589644888765477,0.9878547496089317
F3AE000019,F3AV001418,WSm1,P01,48.54942218392683,48.26590453952075,-0.28351764440608207,0.28351764440608207,0.994160226184938
F3AE000019,F3AV001419,WSm1,P02,48.54942218392683,47.95977729516135,-0.589644888765477,0.589644888765477,0.9878547496089317
F3AE000019,F3AV001420,WSm1,P03,48.54942218392683,48.26590453952075,-0.28351764440608207,0.28351764440608207,0.994160226184938
F3AE000019,F3AV001421,WSm1,P04,48.54942218392683,47.960930814032466,-0.5884913698943635,0.5884913698943635,0.9878785092917296
F3AE000019,F3AV001422,WSm1,P05,48.54942218392683,48.26666246997951,-0.28275971394732125,0.28275971394732125,0.9941758377087146
F3AE000019,F3AV001423,WSp1,P00,48.54942218392683,47.8762968388193,-0.673125345107529,0.673125345107529,0.9861352552753887
F3AE000019,F3AV001424,WSp1,P01,48.54942218392683,48.32555912490364,-0.22386305902318782,0.22386305902318782,0.9953889655334085
F3AE000019,F3AV001425,WSp1,P02,48.54942218392683,47.8762968388193,-0.673125345107529,0.673125345107529,0.9861352552753887
F3AE000019,F3AV001426,WSp1,P03,48.54942218392683,48.32555912490364,-0.22386305902318782,0.22386305902318782,0.9953889655334085
F3AE000019,F3AV001427,WSp1,P04,48.54942218392683,47.8743136562214,-0.6751085277054258,0.6751085277054258,0.9860944065379849
F3AE000019,F3AV001428,WSp1,P05,48.54942218392683,48.32746769995026,-0.22195448397656747,0.22195448397656747,0.9954282775367397
F3AE000019,F3AV001429,WSp2,P00,48.54942218392683,48.373475371366325,-0.17594681256050393,0.17594681256050393,0.9963759236537576
F3AE000019,F3AV001430,WSp2,P01,48.54942218392683,48.64200247139373,0.09258028746690172,0.09258028746690172,1.0019069287192783
