job_id,planned_decision_id,variant_id,external_optimizer_seed,model_id,full_plan_match,payload_match,scientific_key_match,canary_result_core_sha256,imported_result_core_sha256,result_core_match,source_checkpoint_sha256,bootstrap_status
F3AJ0000078,F3ADP000044,F3AV000044,0,M2,true,true,true,f472aa1607e5362606b113653ad2abf9bf983beb0c61ecde7dc2d9c0216a33f0,f472aa1607e5362606b113653ad2abf9bf983beb0c61ecde7dc2d9c0216a33f0,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000115,F3ADP000065,F3AV000065,0,M0,true,true,true,fd51d012f7381abb42c2e85edd41be78a7696156eb9436679c00f766b49ce8d9,fd51d012f7381abb42c2e85edd41be78a7696156eb9436679c00f766b49ce8d9,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000116,F3ADP000065,F3AV000065,0,M1,true,true,true,50d3c9fc110f4f7cea016d5080514a3d46eac4e82869c1428186a67393c5ac28,50d3c9fc110f4f7cea016d5080514a3d46eac4e82869c1428186a67393c5ac28,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000117,F3ADP000065,F3AV000065,0,M2,true,true,true,e1dd50a252381e8bd2a94174366ed2e02d8467be8fab683ec5c3bde0b33ed4f4,e1dd50a252381e8bd2a94174366ed2e02d8467be8fab683ec5c3bde0b33ed4f4,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000130,F3ADP000072,F3AV000072,0,M0,true,true,true,71a2cd0f23bad63664468145f0f017210cccbd96b710599fe3bfdbbde25c36fa,71a2cd0f23bad63664468145f0f017210cccbd96b710599fe3bfdbbde25c36fa,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000131,F3ADP000072,F3AV000072,0,M1,true,true,true,9f3011a5679171aa1ec4743312c3c87a32dbd30a91599be24425ce5099fe1541,9f3011a5679171aa1ec4743312c3c87a32dbd30a91599be24425ce5099fe1541,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000132,F3ADP000072,F3AV000072,0,M2,true,true,true,89a8a219ab2f253d432d212ff5f38acde12c9fa504519fa1485de8a841c59a9f,89a8a219ab2f253d432d212ff5f38acde12c9fa504519fa1485de8a841c59a9f,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000133,F3ADP000079,F3AV000079,0,M0,true,true,true,752f54297c1a38b85b4f0d50b0841617675ed5197faca20f3f6505825302a247,752f54297c1a38b85b4f0d50b0841617675ed5197faca20f3f6505825302a247,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000134,F3ADP000079,F3AV000079,0,M1,true,true,true,aefa5016b23f53ae7165e98c863fd355b7047d5493b3d035ffc53520a6637488,aefa5016b23f53ae7165e98c863fd355b7047d5493b3d035ffc53520a6637488,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000135,F3ADP000079,F3AV000079,0,M2,true,true,true,3ebde782d5c07901a1cf86d6e1c653127e9b8f9080ebcb67e125c538f576947b,3ebde782d5c07901a1cf86d6e1c653127e9b8f9080ebcb67e125c538f576947b,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000148,F3ADP000086,F3AV000086,0,M0,true,true,true,bad3d6bdb8b420c47b1c8fcd35da2c7bd76217fd334f8878b19a0a2a9cb90bca,bad3d6bdb8b420c47b1c8fcd35da2c7bd76217fd334f8878b19a0a2a9cb90bca,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000149,F3ADP000086,F3AV000086,0,M1,true,true,true,799692c8dafc77f51a511362c63520f0f9101bad731937d858ed8a5d4cbcdbd4,799692c8dafc77f51a511362c63520f0f9101bad731937d858ed8a5d4cbcdbd4,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000150,F3ADP000086,F3AV000086,0,M2,true,true,true,57cdc4f67be98a4d3c47336b7b5796b2b3fb166a338fb7cae383638d6432cd0e,57cdc4f67be98a4d3c47336b7b5796b2b3fb166a338fb7cae383638d6432cd0e,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000187,F3ADP000107,F3AV000107,0,M0,true,true,true,3e96a8a946e10e89c8958262aa2171e069e8684e9d426ab5455141ec2b8499d2,3e96a8a946e10e89c8958262aa2171e069e8684e9d426ab5455141ec2b8499d2,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000188,F3ADP000107,F3AV000107,0,M1,true,true,true,764fe21ec1d1d6feb85c4058a03263edc7f9c50cfac656f5f23fb720c1337389,764fe21ec1d1d6feb85c4058a03263edc7f9c50cfac656f5f23fb720c1337389,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000189,F3ADP000107,F3AV000107,0,M2,true,true,true,c6dd2171fb7ccf999c7e257d279f85d5e6c6f401bb33125bdec9b7d4a8235507,c6dd2171fb7ccf999c7e257d279f85d5e6c6f401bb33125bdec9b7d4a8235507,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000202,F3ADP000114,F3AV000114,0,M0,true,true,true,3def5f3572b82525c86f0ca9a8fb9a0dbc419a9e72f4a925a082ab43958ad9c0,3def5f3572b82525c86f0ca9a8fb9a0dbc419a9e72f4a925a082ab43958ad9c0,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000203,F3ADP000114,F3AV000114,0,M1,true,true,true,03d0b749ea039228b115215a930a595da914321a4337a41069e05040cefd0d15,03d0b749ea039228b115215a930a595da914321a4337a41069e05040cefd0d15,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000204,F3ADP000114,F3AV000114,0,M2,true,true,true,93d355acfc8c88b07e71e2d705a3c0e388edb404ca8a33b359e7f2bb55eb348a,93d355acfc8c88b07e71e2d705a3c0e388edb404ca8a33b359e7f2bb55eb348a,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000205,F3ADP000115,F3AV000115,0,M0,true,true,true,8246cc1238d9c06204b0eae04f8b52454b97a56cd2c36eb2477cd772bfcd0f9c,8246cc1238d9c06204b0eae04f8b52454b97a56cd2c36eb2477cd772bfcd0f9c,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
