phase3a_event_id,pair_id,source_work_id,source_row_number,source_event_identifier,canonical_source_event_key,tic_id,sector,source_start_time,source_peak_time,source_end_time,observational_reference_role,matching_level,matched_partner_event_id,membership_status,membership_reason
F3AE000011,F3AP0006,BAIIW0001,1320,SRC_9878aa19a35a47e4515407e0e60cd11af42096bbdfea928015c0ef67778d339e,BAIIW0001|TIC159503663|S47|SRC_9878aa19a35a47e4515407e0e60cd11af42096bbdfea928015c0ef67778d339e,159503663,47,2597.967513,2597.968439,2597.972374,PUBLISHED_QPP_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000012,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000012,F3AP0006,BAIIW0001,1321,SRC_0d4d8dfc83e3b5e49b884a9abdb4196e332bf5b3e9500579dfce492321983307,BAIIW0001|TIC159503663|S53|SRC_0d4d8dfc83e3b5e49b884a9abdb4196e332bf5b3e9500579dfce492321983307,159503663,53,2763.732796,2763.733722,2763.739741,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000011,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000013,F3AP0007,BAIIW0001,1378,SRC_fec3c65239110661248c8ab85a56611d58f02d0405ac6af3a96a729d8a2a2c93,BAIIW0001|TIC160619243|S49|SRC_fec3c65239110661248c8ab85a56611d58f02d0405ac6af3a96a729d8a2a2c93,160619243,49,2662.677869,2662.679258,2662.68736,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000014,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000014,F3AP0007,BAIIW0001,1377,SRC_f965c46d455ce73164561f0287ce10c05fa631b07e16161a8f385ee793bbaaa2,BAIIW0001|TIC160619243|S49|SRC_f965c46d455ce73164561f0287ce10c05fa631b07e16161a8f385ee793bbaaa2,160619243,49,2656.471746,2656.472672,2656.478922,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000013,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000015,F3AP0008,BAIIW0001,1474,SRC_5e0f9e2425531e6159d7bd0540d0c18e0a80059678152d86a95fd7a455624046,BAIIW0001|TIC167551757|S33|SRC_5e0f9e2425531e6159d7bd0540d0c18e0a80059678152d86a95fd7a455624046,167551757,33,2227.328669,2227.329132,2227.333299,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000016,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000016,F3AP0008,BAIIW0001,1473,SRC_1ab26399f190bbb90830eee744a678e42cd7301ebbcd42fd28d78c9c226bb737,BAIIW0001|TIC167551757|S33|SRC_1ab26399f190bbb90830eee744a678e42cd7301ebbcd42fd28d78c9c226bb737,167551757,33,2217.9719,2217.972595,2217.975141,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000015,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000017,F3AP0009,BAIIW0001,1781,SRC_954da02dec9434f5cb610c930b66a663e7949a90c8ac87dc82db98a2bb9d43bb,BAIIW0001|TIC213105608|S32|SRC_954da02dec9434f5cb610c930b66a663e7949a90c8ac87dc82db98a2bb9d43bb,213105608,32,2193.105596,2193.106522,2193.108836,PUBLISHED_QPP_REFERENCE,SAME_SECTOR,F3AE000018,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000018,F3AP0009,BAIIW0001,1528,SRC_0778cb41bc42cdfe0a9760ff271ec599443ac94576613cd687e9a872a4de41a0,BAIIW0001|TIC176955267|S32|SRC_0778cb41bc42cdfe0a9760ff271ec599443ac94576613cd687e9a872a4de41a0,176955267,32,2191.125165,2191.125628,2191.128405,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_SECTOR,F3AE000017,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000019,F3AP0010,BAIIW0001,1831,SRC_3243537fd3f0eac20a39f1cda4bab16fcedd9425f0aa272ce6cdabb497425b62,BAIIW0001|TIC219790151|S76|SRC_3243537fd3f0eac20a39f1cda4bab16fcedd9425f0aa272ce6cdabb497425b62,219790151,76,3390.607915,3390.608378,3390.615785,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000020,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000020,F3AP0010,BAIIW0001,1830,SRC_699be5a7265ee4f45304df5d4f4f5cd3ec4cf019b6ee9344226255c1b297e175,BAIIW0001|TIC219790151|S76|SRC_699be5a7265ee4f45304df5d4f4f5cd3ec4cf019b6ee9344226255c1b297e175,219790151,76,3387.40094,3387.401172,3387.407885,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000019,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000021,F3AP0011,BAIIW0001,1891,SRC_926c13347f16dad5a74f4036bcf883b7507bfc4751731aa75eb17cd41e0d2151,BAIIW0001|TIC220433364|S31|SRC_926c13347f16dad5a74f4036bcf883b7507bfc4751731aa75eb17cd41e0d2151,220433364,31,2166.070869,2166.072026,2166.105822,PUBLISHED_QPP_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000022,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000022,F3AP0011,BAIIW0001,1893,SRC_2987dd7b811c96099b01a81bc13ff3a5263e4e21cf340ecacbed2f49432b40b5,BAIIW0001|TIC220433364|S39|SRC_2987dd7b811c96099b01a81bc13ff3a5263e4e21cf340ecacbed2f49432b40b5,220433364,39,2361.784182,2361.785339,2361.825154,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000021,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
