matrix_cell_id,window_variant_id,processing_profile_id,observational_reference_role,planned_event_count,planned_variant_rows,eligible_count,inadmissible_count,incomplete_count,reference_concordant_baseline_count,transition_count,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_count,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissibility_reason_counts
F3AC064,WC1,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,14,47,0,57,14,0,0,14,0,14,14,1.0,"{""IRREGULAR_SAMPLING"":31,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":11}"
F3AC064,WC1,P03,PUBLISHED_QPP_REFERENCE,61,,12,49,0,8,3,2,1,0,0,2,3,0.6666666666666666,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":8}"
F3AC065,WC1,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,51,10,0,57,51,0,0,51,0,51,51,1.0,"{""TOO_FEW_CADENCES"":10}"
F3AC065,WC1,P04,PUBLISHED_QPP_REFERENCE,61,,53,8,0,8,7,5,2,0,0,5,7,0.7142857142857143,"{""TOO_FEW_CADENCES"":8}"
F3AC066,WC1,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,51,10,0,57,51,0,0,51,0,51,51,1.0,"{""TOO_FEW_CADENCES"":10}"
F3AC066,WC1,P05,PUBLISHED_QPP_REFERENCE,61,,53,8,0,8,7,4,3,0,0,4,7,0.5714285714285714,"{""TOO_FEW_CADENCES"":8}"
F3AC067,WX2,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,59,2,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":2}"
F3AC067,WX2,P00,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,7,1,0,0,7,8,0.875,"{""TOO_FEW_CADENCES"":1}"
F3AC068,WX2,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,59,2,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":2}"
F3AC068,WX2,P01,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC069,WX2,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,16,0,0,16,0,16,16,1.0,"{""IRREGULAR_SAMPLING"":37,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":2}"
F3AC069,WX2,P02,PUBLISHED_QPP_REFERENCE,61,,12,49,0,8,3,2,1,0,0,2,3,0.6666666666666666,"{""IRREGULAR_SAMPLING"":43,""PEAK_REMOVED_BY_QUALITY"":6}"
F3AC070,WX2,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,16,0,0,16,0,16,16,1.0,"{""IRREGULAR_SAMPLING"":37,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":2}"
F3AC070,WX2,P03,PUBLISHED_QPP_REFERENCE,61,,12,49,0,8,3,1,2,0,0,1,3,0.3333333333333333,"{""IRREGULAR_SAMPLING"":43,""PEAK_REMOVED_BY_QUALITY"":6}"
F3AC071,WX2,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,59,2,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":2}"
F3AC071,WX2,P04,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,6,2,0,0,6,8,0.75,"{""TOO_FEW_CADENCES"":1}"
F3AC072,WX2,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,59,2,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":2}"
F3AC072,WX2,P05,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC073,WC2,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,42,19,0,57,42,0,0,42,0,42,42,1.0,"{""PEAK_OUTSIDE_WINDOW"":6,""TOO_FEW_CADENCES"":12,""WINDOW_OUT_OF_RANGE"":1}"
F3AC073,WC2,P00,PUBLISHED_QPP_REFERENCE,61,,47,14,0,8,7,5,2,0,0,5,7,0.7142857142857143,"{""PEAK_OUTSIDE_WINDOW"":5,""TOO_FEW_CADENCES"":9}"
F3AC074,WC2,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,42,19,0,57,42,0,0,42,0,42,42,1.0,"{""PEAK_OUTSIDE_WINDOW"":6,""TOO_FEW_CADENCES"":12,""WINDOW_OUT_OF_RANGE"":1}"
F3AC074,WC2,P01,PUBLISHED_QPP_REFERENCE,61,,47,14,0,8,7,3,4,0,0,3,7,0.42857142857142855,"{""PEAK_OUTSIDE_WINDOW"":5,""TOO_FEW_CADENCES"":9}"
F3AC075,WC2,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,10,51,0,57,10,0,0,10,0,10,10,1.0,"{""IRREGULAR_SAMPLING"":28,""PEAK_OUTSIDE_WINDOW"":6,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":11,""WINDOW_OUT_OF_RANGE"":1}"
F3AC075,WC2,P02,PUBLISHED_QPP_REFERENCE,61,,10,51,0,8,3,1,2,0,0,1,3,0.3333333333333333,"{""IRREGULAR_SAMPLING"":29,""PEAK_OUTSIDE_WINDOW"":5,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":12}"
F3AC076,WC2,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,10,51,0,57,10,0,0,10,0,10,10,1.0,"{""IRREGULAR_SAMPLING"":28,""PEAK_OUTSIDE_WINDOW"":6,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":11,""WINDOW_OUT_OF_RANGE"":1}"
F3AC076,WC2,P03,PUBLISHED_QPP_REFERENCE,61,,10,51,0,8,3,1,2,0,0,1,3,0.3333333333333333,"{""IRREGULAR_SAMPLING"":29,""PEAK_OUTSIDE_WINDOW"":5,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":12}"
F3AC077,WC2,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,42,19,0,57,42,0,0,42,0,42,42,1.0,"{""PEAK_OUTSIDE_WINDOW"":6,""TOO_FEW_CADENCES"":12,""WINDOW_OUT_OF_RANGE"":1}"
F3AC077,WC2,P04,PUBLISHED_QPP_REFERENCE,61,,47,14,0,8,7,4,3,0,0,4,7,0.5714285714285714,"{""PEAK_OUTSIDE_WINDOW"":5,""TOO_FEW_CADENCES"":9}"
F3AC078,WC2,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,42,19,0,57,42,0,0,42,0,42,42,1.0,"{""PEAK_OUTSIDE_WINDOW"":6,""TOO_FEW_CADENCES"":12,""WINDOW_OUT_OF_RANGE"":1}"
F3AC078,WC2,P05,PUBLISHED_QPP_REFERENCE,61,,47,14,0,8,7,3,4,0,0,3,7,0.42857142857142855,"{""PEAK_OUTSIDE_WINDOW"":5,""TOO_FEW_CADENCES"":9}"
