matrix_cell_id,window_variant_id,processing_profile_id,observational_reference_role,planned_event_count,planned_variant_rows,eligible_count,inadmissible_count,incomplete_count,reference_concordant_baseline_count,transition_count,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_count,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissibility_reason_counts
F3AC014,WSm1,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC014,WSm1,P01,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC015,WSm1,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,17,0,0,17,0,17,17,1.0,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":4}"
F3AC015,WSm1,P02,PUBLISHED_QPP_REFERENCE,61,,13,48,0,8,3,2,1,0,0,2,3,0.6666666666666666,"{""IRREGULAR_SAMPLING"":40,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":2}"
F3AC016,WSm1,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,17,0,0,17,0,17,17,1.0,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":4}"
F3AC016,WSm1,P03,PUBLISHED_QPP_REFERENCE,61,,13,48,0,8,3,1,2,0,0,1,3,0.3333333333333333,"{""IRREGULAR_SAMPLING"":40,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":2}"
F3AC017,WSm1,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC017,WSm1,P04,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,5,3,0,0,5,8,0.625,"{""TOO_FEW_CADENCES"":1}"
F3AC018,WSm1,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC018,WSm1,P05,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC019,WSp1,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,53,8,0,57,53,0,0,53,0,53,53,1.0,"{""TOO_FEW_CADENCES"":8}"
F3AC019,WSp1,P00,PUBLISHED_QPP_REFERENCE,61,,55,6,0,8,7,6,1,0,0,6,7,0.8571428571428571,"{""TOO_FEW_CADENCES"":6}"
F3AC020,WSp1,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,53,8,0,57,53,0,0,53,0,53,53,1.0,"{""TOO_FEW_CADENCES"":8}"
F3AC020,WSp1,P01,PUBLISHED_QPP_REFERENCE,61,,55,6,0,8,7,3,4,0,0,3,7,0.42857142857142855,"{""TOO_FEW_CADENCES"":6}"
F3AC021,WSp1,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,16,45,0,57,16,0,0,16,0,16,16,1.0,"{""IRREGULAR_SAMPLING"":32,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":8}"
F3AC021,WSp1,P02,PUBLISHED_QPP_REFERENCE,61,,11,50,0,8,2,1,1,0,0,1,2,0.5,"{""IRREGULAR_SAMPLING"":36,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":8}"
F3AC022,WSp1,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,16,45,0,57,16,0,0,16,0,16,16,1.0,"{""IRREGULAR_SAMPLING"":32,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":8}"
F3AC022,WSp1,P03,PUBLISHED_QPP_REFERENCE,61,,11,50,0,8,2,1,1,0,0,1,2,0.5,"{""IRREGULAR_SAMPLING"":36,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":8}"
F3AC023,WSp1,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,53,8,0,57,53,0,0,53,0,53,53,1.0,"{""TOO_FEW_CADENCES"":8}"
F3AC023,WSp1,P04,PUBLISHED_QPP_REFERENCE,61,,55,6,0,8,7,6,1,0,0,6,7,0.8571428571428571,"{""TOO_FEW_CADENCES"":6}"
F3AC024,WSp1,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,53,8,0,57,53,0,0,53,0,53,53,1.0,"{""TOO_FEW_CADENCES"":8}"
F3AC024,WSp1,P05,PUBLISHED_QPP_REFERENCE,61,,55,6,0,8,7,3,4,0,0,3,7,0.42857142857142855,"{""TOO_FEW_CADENCES"":6}"
F3AC025,WSp2,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,46,15,0,57,46,0,0,46,0,46,46,1.0,"{""PEAK_OUTSIDE_WINDOW"":7,""TOO_FEW_CADENCES"":8}"
F3AC025,WSp2,P00,PUBLISHED_QPP_REFERENCE,61,,49,12,0,8,7,6,1,0,0,6,7,0.8571428571428571,"{""PEAK_OUTSIDE_WINDOW"":5,""TOO_FEW_CADENCES"":7}"
