payload_id,variant_id,offset,length,time_sha256,flux_sha256,native_index_sha256,logical_payload_sha256,n_samples,first_time_s,last_time_s,time_dtype,flux_dtype,native_index_dtype
F3APAY000013,F3AV000019,372,29,4f03b23511451182bb6a5a5555a5804c785bfa328e74921cda90c0cd9e39f46c,dddabd63198e05d49d901b716123ddbd2fff5f8fdb056a076affdea00dfd470e,4826c39d81089c1bd5a0f3ff417f6b62f409532f114a5882d78c77e8267ef764,4ada96c9c603c5fd7860c25540acb1e828ac8cd5850060e52659f70b8675298a,29,0.0,560.0046198087512,<f8,<f8,<i8
F3APAY000014,F3AV000020,401,29,4f03b23511451182bb6a5a5555a5804c785bfa328e74921cda90c0cd9e39f46c,7fbaaf0abc9f4f59ee5deafa1e902b9a18de635e4ca0eb27f0bba4fe82ec2782,4826c39d81089c1bd5a0f3ff417f6b62f409532f114a5882d78c77e8267ef764,3a4a7fafc92843d974ceaaf5e8d2edd306eb84293d0aad385c9b8da456c19475,29,0.0,560.0046198087512,<f8,<f8,<i8
F3APAY000015,F3AV000023,430,29,4f03b23511451182bb6a5a5555a5804c785bfa328e74921cda90c0cd9e39f46c,79f17321bca7d0a9eff9ab1f300013bf5f17153a06bceab4ed78b0ca1653f5ff,4826c39d81089c1bd5a0f3ff417f6b62f409532f114a5882d78c77e8267ef764,e838539aa91b621536c13c4dfc6ea86e5593c8a7426a5e7e9835261420dd7529,29,0.0,560.0046198087512,<f8,<f8,<i8
F3APAY000016,F3AV000024,459,29,4f03b23511451182bb6a5a5555a5804c785bfa328e74921cda90c0cd9e39f46c,d5c0d0d0cf1be9cfeed53735ad5d902c96ac36cd9f784c8789f6dc3da3f9aad7,4826c39d81089c1bd5a0f3ff417f6b62f409532f114a5882d78c77e8267ef764,8037d69113f69b4405459c640bfceaddb98bf4530f8563f10e8e5e161d8ba415,29,0.0,560.0046198087512,<f8,<f8,<i8
F3APAY000017,F3AV000031,488,28,65b4f5cf37ed695f36816ab846fe84028d9a845917fa17022e064c1097ab6074,6659d0626d8b022f42c658f7358c5a5a6cd542a6027850073875fb8374fa8030,1bbffb21a964dcb4683aca6b1d62ba254b93ee225eae16ecf8922f83cbf6fdf9,a19dc7cebe6b14514de88153f769647d51eea0af28b7cc569446e860e3049f41,28,0.0,540.0044683847227,<f8,<f8,<i8
F3APAY000018,F3AV000032,516,28,65b4f5cf37ed695f36816ab846fe84028d9a845917fa17022e064c1097ab6074,87a418254556e4ad4672d6e8514f37d7ef92c5dc46c25069e70351e8ea7cbd3b,1bbffb21a964dcb4683aca6b1d62ba254b93ee225eae16ecf8922f83cbf6fdf9,b4c6823baa6759686980223e50526cd2e52b57019d69aee3a443396d14fffe6c,28,0.0,540.0044683847227,<f8,<f8,<i8
F3APAY000019,F3AV000035,544,28,65b4f5cf37ed695f36816ab846fe84028d9a845917fa17022e064c1097ab6074,49451fed5a0c9bcbaf1efb3e36b4c9d537d24005282af1dc32a3edc166174d99,1bbffb21a964dcb4683aca6b1d62ba254b93ee225eae16ecf8922f83cbf6fdf9,ce789c0a0793bdc8714ca9a79f11dd4c7c9a35d1d5910f9d4327f45964bff287,28,0.0,540.0044683847227,<f8,<f8,<i8
F3APAY000020,F3AV000036,572,28,65b4f5cf37ed695f36816ab846fe84028d9a845917fa17022e064c1097ab6074,ada04491ffc14bf9952d71c14e6d71f4e9625102d073201c406da110b9d0a1a8,1bbffb21a964dcb4683aca6b1d62ba254b93ee225eae16ecf8922f83cbf6fdf9,9da6f10c1113fef97d5df6ba3778cc001b6bcd2129a4cd42bd4fa5600aab75c1,28,0.0,540.0044683847227,<f8,<f8,<i8
F3APAY000021,F3AV000037,600,29,e484feaa875b30c91f5c6d21da032cb7812cf4556cf79151f1065514ff7f0c4e,f50918c5874ca7ad0c3d1b9d82492eb6ab5c7c55f026be1c2864b2d3960aeff5,f5ef912f3545601495ef164c8ffbd72d8a797baa155d661b7d1bf158b35cbbe5,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,29,0.0,560.0046399253188,<f8,<f8,<i8
F3APAY000022,F3AV000038,629,29,e484feaa875b30c91f5c6d21da032cb7812cf4556cf79151f1065514ff7f0c4e,592bb8895d133ef7a0aa3f998a19d3162ea4ad24763aeab5109476595e5fed56,f5ef912f3545601495ef164c8ffbd72d8a797baa155d661b7d1bf158b35cbbe5,47b9968df9e00b49769f1a37549d08583f802e9f8f839d79dc31e5698242a90b,29,0.0,560.0046399253188,<f8,<f8,<i8
