job_id,job_order,planned_decision_id,decision_class,phase3a_event_id,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,payload_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,seed_application_contract,selection_rule,execution_status
F3AJ0000015,15,F3ADP000007,PRIMARY,F3AE000001,F3AV000007,F3AC007,WSm2,P00,0,M2,bpow_const,F3APAY000005,0a8116f6a71a95272baddf6de26269a876396900b468ae8742693f9326b7bf5d,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000016,16,F3ADP000008,PRIMARY,F3AE000001,F3AV000008,F3AC008,WSm2,P01,0,M0,pow_const,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000017,17,F3ADP000008,PRIMARY,F3AE000001,F3AV000008,F3AC008,WSm2,P01,0,M1,pow_const_gauss,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000018,18,F3ADP000008,PRIMARY,F3AE000001,F3AV000008,F3AC008,WSm2,P01,0,M2,bpow_const,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000019,19,F3ADP000011,PRIMARY,F3AE000001,F3AV000011,F3AC011,WSm2,P04,0,M0,pow_const,F3APAY000007,56f20e676a44004582c97824b4679cd307524e356b91c94eb726e3a2f2999fdf,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000020,20,F3ADP000011,PRIMARY,F3AE000001,F3AV000011,F3AC011,WSm2,P04,0,M1,pow_const_gauss,F3APAY000007,56f20e676a44004582c97824b4679cd307524e356b91c94eb726e3a2f2999fdf,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000021,21,F3ADP000011,PRIMARY,F3AE000001,F3AV000011,F3AC011,WSm2,P04,0,M2,bpow_const,F3APAY000007,56f20e676a44004582c97824b4679cd307524e356b91c94eb726e3a2f2999fdf,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000022,22,F3ADP000012,PRIMARY,F3AE000001,F3AV000012,F3AC012,WSm2,P05,0,M0,pow_const,F3APAY000008,c481921afff05b2655a2af60532d194beced0c40dd30f7702a0d45437c6fe321,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000023,23,F3ADP000012,PRIMARY,F3AE000001,F3AV000012,F3AC012,WSm2,P05,0,M1,pow_const_gauss,F3APAY000008,c481921afff05b2655a2af60532d194beced0c40dd30f7702a0d45437c6fe321,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000024,24,F3ADP000012,PRIMARY,F3AE000001,F3AV000012,F3AC012,WSm2,P05,0,M2,bpow_const,F3APAY000008,c481921afff05b2655a2af60532d194beced0c40dd30f7702a0d45437c6fe321,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
