planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,decision_status
F3ADP000024,16,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000024,F3AC024,WSp1,P05,0,F3APAY000016,8037d69113f69b4405459c640bfceaddb98bf4530f8563f10e8e5e161d8ba415,29,34.23938431633206,38.596429770772545,40.0257081724872,-4.357045454440488,1.4292784017146545,false,56.23012200609801,formal_m1_center_not_selected,VALID
F3ADP000031,17,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000031,F3AC031,WEm2,P00,0,F3APAY000017,a19dc7cebe6b14514de88153f769647d51eea0af28b7cc569446e860e3049f41,28,37.74789265029566,40.68493329824698,40.12454772558876,-2.9370406479513207,-0.5603855726582196,false,63.39690666130855,formal_m1_center_not_selected,VALID
F3ADP000032,18,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000032,F3AC032,WEm2,P01,0,F3APAY000018,b4c6823baa6759686980223e50526cd2e52b57019d69aee3a443396d14fffe6c,28,37.82178375266982,41.81389343700225,41.301302317983875,-3.9921096843324264,-0.5125911190183743,false,61.97173683375131,formal_m1_center_not_selected,VALID
F3ADP000035,19,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000035,F3AC035,WEm2,P04,0,F3APAY000019,ce789c0a0793bdc8714ca9a79f11dd4c7c9a35d1d5910f9d4327f45964bff287,28,39.82302597938805,43.48827968003971,43.16530043188667,-3.665253700651661,-0.3229792481530396,false,63.287236521951684,formal_m1_center_not_selected,VALID
F3ADP000036,20,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000036,F3AC036,WEm2,P05,0,F3APAY000020,9da6f10c1113fef97d5df6ba3778cc001b6bcd2129a4cd42bd4fa5600aab75c1,28,40.06668796351584,44.65522736039507,44.45057525839005,-4.588539396879227,-0.2046521020050136,false,61.60623698737045,formal_m1_center_not_selected,VALID
F3ADP000037,21,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000037,F3AC037,WEm1,P00,0,F3APAY000021,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,29,36.44536281786054,37.81021255668667,38.14755878838846,-1.3648497388261305,0.3373462317017868,false,62.95747442409177,formal_m1_center_not_selected,VALID
F3ADP000038,22,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000038,F3AC038,WEm1,P01,0,F3APAY000022,47b9968df9e00b49769f1a37549d08583f802e9f8f839d79dc31e5698242a90b,29,36.494087704667045,38.94587241383777,38.70004255849257,-2.451784709170724,-0.24582985534519963,false,62.04478359587069,formal_m1_center_not_selected,VALID
F3ADP000041,23,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000041,F3AC041,WEm1,P04,0,F3APAY000023,ec55342d33d49222301cdda6f7d385478397294f51b89158eb84b428be908b64,29,39.51724160038427,41.6925301321607,42.249167802532014,-2.175288531776431,0.5566376703713161,false,62.91065731484137,formal_m1_center_not_selected,VALID
F3ADP000042,24,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000042,F3AC042,WEm1,P05,0,F3APAY000024,7e1df7898ca977357ca6c741941c000598831cb527fb5d3bb7202df83fe074fb,29,39.6379061216257,42.84797430148788,42.863870556461706,-3.2100681798621835,0.015896254973824853,false,61.99848656569278,formal_m1_center_not_selected,VALID
F3ADP000043,25,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000043,F3AC043,WEp1,P00,0,F3APAY000025,a4b8cc8929fd344468d068b4b564cfa37e4c9da4df14a30a317a897f36a929f4,31,32.028879055626376,32.87007420599022,35.049943913557385,-0.8411951503638448,2.179869707567164,false,63.28087337836736,formal_m1_center_not_selected,VALID
F3ADP000044,26,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000044,F3AC044,WEp1,P01,0,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,31,31.99968970213785,33.96287606705218,35.3679209183235,-1.9631863649143284,1.4050448512713203,false,62.74167287631297,formal_m1_center_not_selected,VALID
F3ADP000047,27,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000047,F3AC047,WEp1,P04,0,F3APAY000027,455851c21fd6f812e47458aebc84268323159bfae0b499accff7b521f3fce691,31,38.269580549974734,39.875113241203586,42.565871160976315,-1.6055326912288521,2.6907579197727287,false,63.234772166506005,formal_m1_center_not_selected,VALID
F3ADP000048,28,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000048,F3AC048,WEp1,P05,0,F3APAY000028,7b2320537f54e5b9ec0b9ca0275db0171e713c708d078d491ec77fa722b39e17,31,38.639371340566655,41.32671749565929,43.27700694116716,-2.6873461550926336,1.9502894455078703,false,62.67010995839238,formal_m1_center_not_selected,VALID
F3ADP000049,29,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000049,F3AC049,WEp2,P00,0,F3APAY000029,9cbcba86f66dd6b6b6501221b818afc1aa26b2941001c90493d3480f1eb7b068,32,29.674790553482453,31.658222981680936,34.594428273207,-1.9834324281984834,2.936205291526065,false,62.9992712645682,formal_m1_center_not_selected,VALID
F3ADP000050,30,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000050,F3AC050,WEp2,P01,0,F3APAY000030,0f4b3b2fb0b4e314b887ca903e963e5e0a630e37e5f1e7389b2e5a510deea4ff,32,29.703232627119696,32.32075844477475,35.0216956706282,-2.61752581765505,2.700937225853451,false,56.33249178256505,formal_m1_center_not_selected,VALID
F3ADP000053,31,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000053,F3AC053,WEp2,P04,0,F3APAY000031,5c82d62800ed0d8ee1c6331fa87719dae8df40cc273f0642f4aa6b817ed500bb,32,36.718681674824985,39.1840846169259,42.1059869549005,-2.4654029421009156,2.9219023379746005,false,62.868664213370785,formal_m1_center_not_selected,VALID
