phase3a_event_id,pair_id,observational_reference_role,baseline_gate_state,planned_cells,eligible_cells,inadmissible_cells,transition_eligible_cells,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_cells,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissible_irregular_sampling,inadmissible_too_few_cadences,inadmissible_peak_removed_by_quality,inadmissible_peak_outside_window,inadmissible_window_out_of_range
F3AE000031,F3AP0016,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000032,F3AP0016,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000033,F3AP0017,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,36,42,0,0,0,0,0,0,0,,12,30,0,0,0
F3AE000034,F3AP0017,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
F3AE000035,F3AP0018,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,0,0,26,0,0
F3AE000036,F3AP0018,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,48,30,48,0,0,48,0,48,48,1.0,18,12,0,0,0
F3AE000037,F3AP0019,PUBLISHED_QPP_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,48,4,0,0,48,52,0.9230769230769231,26,0,0,0,0
F3AE000038,F3AP0019,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000039,F3AP0020,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000040,F3AP0020,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,66,12,66,0,0,66,0,66,66,1.0,0,0,0,12,0
F3AE000041,F3AP0021,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,24,2,0,0,0
F3AE000042,F3AP0021,PUBLISHED_NOT_SELECTED_REFERENCE,INPUT_INADMISSIBLE,78,6,72,0,0,0,0,0,0,0,,0,72,0,0,0
F3AE000043,F3AP0022,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,72,6,0,0,0,0,0,0,0,,0,6,0,0,0
F3AE000044,F3AP0022,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,72,6,72,0,0,72,0,72,72,1.0,0,6,0,0,0
F3AE000045,F3AP0023,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000046,F3AP0023,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,0,0,26,0,0
F3AE000047,F3AP0024,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000048,F3AP0024,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000049,F3AP0025,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,66,12,0,0,0,0,0,0,0,,0,0,0,12,0
F3AE000050,F3AP0025,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000051,F3AP0026,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,0,0,26,0,0
F3AE000052,F3AP0026,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,0,0,26,0,0
F3AE000053,F3AP0027,PUBLISHED_QPP_REFERENCE,INPUT_INADMISSIBLE,78,36,42,0,0,0,0,0,0,0,,0,42,0,0,0
F3AE000054,F3AP0027,PUBLISHED_NOT_SELECTED_REFERENCE,INPUT_INADMISSIBLE,78,4,74,0,0,0,0,0,0,0,,2,72,0,0,0
F3AE000055,F3AP0028,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000056,F3AP0028,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
F3AE000057,F3AP0029,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000058,F3AP0029,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,54,24,54,0,0,54,0,54,54,1.0,0,24,0,0,0
F3AE000059,F3AP0030,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
