planned_decision_id,decision_class,phase3a_event_id,observational_reference_role,variant_id,window_variant_id,processing_profile_id,external_optimizer_seed,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,decision_status
F3ADP000313,PRIMARY,F3AE000005,PUBLISHED_QPP_REFERENCE,F3AV000313,W00,P00,0,0.23012442371782127,3.056974730071138,3.1313056291394856,-2.826850306353317,0.07433089906834756,False,60.61228032705796,formal_m1_center_not_selected,VALID
F3ADP000795,PRIMARY,F3AE000011,PUBLISHED_QPP_REFERENCE,F3AV000795,WSm1,P02,0,-21.07234507280996,-19.410261856904683,-17.11467574122167,-1.6620832159052767,2.2955861156830117,False,98.39513440197784,formal_m1_center_not_selected,VALID
F3ADP000802,PRIMARY,F3AE000011,PUBLISHED_QPP_REFERENCE,F3AV000802,WSp1,P03,0,-15.4207605297878,-14.36091049937809,-11.415183041515963,-1.0598500304097112,2.9457274578621266,False,94.31551214112645,formal_m1_center_not_selected,VALID
F3ADP000831,PRIMARY,F3AE000011,PUBLISHED_QPP_REFERENCE,F3AV000831,WEp2,P02,0,-27.035915053397694,-26.07898355820852,-23.798848777131447,-0.9569314951891741,2.2801347810770736,False,96.708537080765,formal_m1_center_not_selected,VALID
F3ADP000838,PRIMARY,F3AE000011,PUBLISHED_QPP_REFERENCE,F3AV000838,WX1,P03,0,-26.534070586361338,-24.75058772368382,-22.35201444685686,-1.7834828626775163,2.398573276826962,False,97.98305581458305,formal_m1_center_not_selected,VALID
F3ADP008881,PRIMARY,F3AE000114,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008881,WX2,P00,0,-1255.8217685866946,-1263.0019033482165,-1250.7673488823987,7.180134761521913,12.234554465817837,False,45.05466549218817,formal_m1_center_not_selected,VALID
F3ADP008959,PRIMARY,F3AE000115,PUBLISHED_QPP_REFERENCE,F3AV008959,WX2,P00,0,-1431.537812192871,-1424.6634978805546,-1424.1362252322817,-6.874314312316301,0.5272726482728558,False,61.930351412144816,formal_m1_center_not_selected,VALID
F3ADS000001,STABILITY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000001,W00,P00,1,33.58484897744572,36.13168564952332,36.90018374920286,-2.546836672077596,0.7684980996795403,False,63.11902750015419,formal_m1_center_not_selected,VALID
F3ADS000009,STABILITY,F3AE000001,PUBLISHED_QPP_REFERENCE,F3AV000001,W00,P00,9,33.58484897744774,36.13168558880511,36.90018604682955,-2.546836611357371,0.768500458024441,False,63.11902826553422,formal_m1_center_not_selected,VALID
F3ADS000010,STABILITY,F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,W00,P00,1,-27.87827078237578,-21.965035972717367,-24.320901642523097,-5.913234809658412,-2.3558656698057305,False,232.28983849287815,formal_m1_center_not_selected,VALID
F3ADS000018,STABILITY,F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,W00,P00,9,-27.878270782377044,-21.255040406941127,-24.320901166766106,-6.6232303754359165,-3.0658607598249787,False,286.27756161907405,formal_m1_center_not_selected,VALID
