job_id,job_order,planned_decision_id,decision_class,phase3a_event_id,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,payload_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,seed_application_contract,selection_rule,execution_status,canary_selection_component,canary_selection_reason
F3AJ0000062,62,F3ADP000037,PRIMARY,F3AE000001,F3AV000037,F3AC037,WEm1,P00,0,M1,pow_const_gauss,F3APAY000021,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000063,63,F3ADP000037,PRIMARY,F3AE000001,F3AV000037,F3AC037,WEm1,P00,0,M2,bpow_const,F3APAY000021,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000076,76,F3ADP000044,PRIMARY,F3AE000001,F3AV000044,F3AC044,WEp1,P01,0,M0,pow_const,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000077,77,F3ADP000044,PRIMARY,F3AE000001,F3AV000044,F3AC044,WEp1,P01,0,M1,pow_const_gauss,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000078,78,F3ADP000044,PRIMARY,F3AE000001,F3AV000044,F3AC044,WEp1,P01,0,M2,bpow_const,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000115,115,F3ADP000065,PRIMARY,F3AE000001,F3AV000065,F3AC065,WC1,P04,0,M0,pow_const,F3APAY000039,86dbf7c3592073bfc61503974a06caab368c47e86de80954506829ce95a729ff,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WC1;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3AJ0000116,116,F3ADP000065,PRIMARY,F3AE000001,F3AV000065,F3AC065,WC1,P04,0,M1,pow_const_gauss,F3APAY000039,86dbf7c3592073bfc61503974a06caab368c47e86de80954506829ce95a729ff,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WC1;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3AJ0000117,117,F3ADP000065,PRIMARY,F3AE000001,F3AV000065,F3AC065,WC1,P04,0,M2,bpow_const,F3APAY000039,86dbf7c3592073bfc61503974a06caab368c47e86de80954506829ce95a729ff,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WC1;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3AJ0000130,130,F3ADP000072,PRIMARY,F3AE000001,F3AV000072,F3AC072,WX2,P05,0,M0,pow_const,F3APAY000044,d1b899af1dbd794b8b4261c9bc3a3fc8d40a17b01773018d7f990b2d70d57506,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WX2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000131,131,F3ADP000072,PRIMARY,F3AE000001,F3AV000072,F3AC072,WX2,P05,0,M1,pow_const_gauss,F3APAY000044,d1b899af1dbd794b8b4261c9bc3a3fc8d40a17b01773018d7f990b2d70d57506,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WX2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000132,132,F3ADP000072,PRIMARY,F3AE000001,F3AV000072,F3AC072,WX2,P05,0,M2,bpow_const,F3APAY000044,d1b899af1dbd794b8b4261c9bc3a3fc8d40a17b01773018d7f990b2d70d57506,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WX2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000133,133,F3ADP000079,PRIMARY,F3AE000002,F3AV000079,F3AC001,W00,P00,0,M0,pow_const,F3APAY000045,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=W00;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000134,134,F3ADP000079,PRIMARY,F3AE000002,F3AV000079,F3AC001,W00,P00,0,M1,pow_const_gauss,F3APAY000045,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=W00;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000135,135,F3ADP000079,PRIMARY,F3AE000002,F3AV000079,F3AC001,W00,P00,0,M2,bpow_const,F3APAY000045,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=W00;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000148,148,F3ADP000086,PRIMARY,F3AE000002,F3AV000086,F3AC008,WSm2,P01,0,M0,pow_const,F3APAY000050,c861108f1dd83d91ff64834356f3cca8a952498fbe4c6b612552c18a0b9b0dc6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSm2;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000149,149,F3ADP000086,PRIMARY,F3AE000002,F3AV000086,F3AC008,WSm2,P01,0,M1,pow_const_gauss,F3APAY000050,c861108f1dd83d91ff64834356f3cca8a952498fbe4c6b612552c18a0b9b0dc6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSm2;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000150,150,F3ADP000086,PRIMARY,F3AE000002,F3AV000086,F3AC008,WSm2,P01,0,M2,bpow_const,F3APAY000050,c861108f1dd83d91ff64834356f3cca8a952498fbe4c6b612552c18a0b9b0dc6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSm2;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000187,187,F3ADP000107,PRIMARY,F3AE000002,F3AV000107,F3AC029,WSp2,P04,0,M0,pow_const,F3APAY000063,5d90e04c8867d9f45c3dcee6a9be7f5981e9a6f5f4027c5ffe2181cd66fad373,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSp2;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3AJ0000188,188,F3ADP000107,PRIMARY,F3AE000002,F3AV000107,F3AC029,WSp2,P04,0,M1,pow_const_gauss,F3APAY000063,5d90e04c8867d9f45c3dcee6a9be7f5981e9a6f5f4027c5ffe2181cd66fad373,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSp2;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3AJ0000189,189,F3ADP000107,PRIMARY,F3AE000002,F3AV000107,F3AC029,WSp2,P04,0,M2,bpow_const,F3APAY000063,5d90e04c8867d9f45c3dcee6a9be7f5981e9a6f5f4027c5ffe2181cd66fad373,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSp2;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
