simulation_unit_id,background_realization_id,latent_array_file,latent_offset,latent_length,latent_flux_sha256,retained_time_array_file,retained_flux_array_file,retained_native_index_array_file,retained_offset,retained_length,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,materialization_status
F3BBG_N030_A2_Q002_R014:POS:PRIMARY,F3BBG_N030_A2_Q002_R014,latent_flux.npy,41790,30,0ec7f1485dc682b6b53d57ddbbe4392ab1d091b41d8ff472a7190c012c5a7d12,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41470,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,0ec7f1485dc682b6b53d57ddbbe4392ab1d091b41d8ff472a7190c012c5a7d12,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,9cb44788602cbe8cf94855a48f7c98263ca496fcd78a14291399dac6ba30a194,MATERIALIZED
F3BBG_N030_A2_Q002_R015:NULL:PRIMARY,F3BBG_N030_A2_Q002_R015,latent_flux.npy,41820,30,530b684afb5835bf2cbf2d095355b87d792ceac5b781861c113542e8685b2ae6,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41500,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,530b684afb5835bf2cbf2d095355b87d792ceac5b781861c113542e8685b2ae6,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,9bbe17d6786a5e144d608854e4140264115da4fdcfa8850f1370edc04335c6cf,MATERIALIZED
F3BBG_N030_A2_Q002_R015:POS:PRIMARY,F3BBG_N030_A2_Q002_R015,latent_flux.npy,41850,30,993d0ebaff350c37a07d71e184dea29004de00897cda03fb7f8ac998303ffc8a,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41530,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,993d0ebaff350c37a07d71e184dea29004de00897cda03fb7f8ac998303ffc8a,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,42b1abd2d70bf8b13dbf0e3e04c07428b4cb5aee116129b0e1f41168f8baabc8,MATERIALIZED
F3BBG_N030_A2_Q002_R018:NULL:PRIMARY,F3BBG_N030_A2_Q002_R018,latent_flux.npy,41880,30,481871d6df4150865259688d8a60253c44960d4e3b5db16bdc8bd184a04ab4db,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41560,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,481871d6df4150865259688d8a60253c44960d4e3b5db16bdc8bd184a04ab4db,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,b01faad549c79e5fb37e7111db96d35975a37285c7ad4f864f3510e552899cff,MATERIALIZED
F3BBG_N030_A2_Q002_R018:POS:PRIMARY,F3BBG_N030_A2_Q002_R018,latent_flux.npy,41910,30,fedf3cdf6725fca44eb9deaa525372006bd91c4daacabf20eb6312d14fee4930,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41590,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,fedf3cdf6725fca44eb9deaa525372006bd91c4daacabf20eb6312d14fee4930,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,b4fb7ff95263181d8987ee82287885cb0eb0f0e6e68b031c2ef2ecff515d30e3,MATERIALIZED
F3BBG_N030_A2_Q002_R020:NULL:PRIMARY,F3BBG_N030_A2_Q002_R020,latent_flux.npy,41940,30,ef77a75123c6e318d7fa118871993a0b185198265c67ff4e3293b4940901b3dd,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41620,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,ef77a75123c6e318d7fa118871993a0b185198265c67ff4e3293b4940901b3dd,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,b06bea908457efddd29a26c6ee51c7294480af64176f64089f87d4caac632e1b,MATERIALIZED
F3BBG_N030_A2_Q002_R020:POS:PRIMARY,F3BBG_N030_A2_Q002_R020,latent_flux.npy,41970,30,52404b4659d8f4f7aa79b96212c894d3b15ffbc6a083694479d66e62cbb6bfb5,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41650,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,52404b4659d8f4f7aa79b96212c894d3b15ffbc6a083694479d66e62cbb6bfb5,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,cb6fa4e4802e1bea41c87fadd8ea734a56b156d85fbde73df1bdd281f4b234eb,MATERIALIZED
F3BBG_N030_A2_Q002_R022:NULL:PRIMARY,F3BBG_N030_A2_Q002_R022,latent_flux.npy,42000,30,29fd899f9c763018fad3a5694946b0dc3603209e62ff11ad5c988903e0b2ea35,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41680,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,29fd899f9c763018fad3a5694946b0dc3603209e62ff11ad5c988903e0b2ea35,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,91b60f577889a76e1c24db40d5cf15891866991f8b0af5bcbb66592785ed6853,MATERIALIZED
F3BBG_N030_A2_Q002_R022:POS:PRIMARY,F3BBG_N030_A2_Q002_R022,latent_flux.npy,42030,30,32ca11df32d0e17f4f6a75470d96c5cab0bc3e61070b8f3d1e4aaede78860ab0,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41710,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,32ca11df32d0e17f4f6a75470d96c5cab0bc3e61070b8f3d1e4aaede78860ab0,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,c132105c5dc9c4cb98ff4ce15c190bbfa751d22d9ce222b79222dfe2ed564b02,MATERIALIZED
F3BBG_N030_A2_Q002_R023:NULL:PRIMARY,F3BBG_N030_A2_Q002_R023,latent_flux.npy,42060,30,32c949282cbb3e6980b0b2bd85eed13fc22152b6b2c4938e60d1a8c2a5d1b52a,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41740,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,32c949282cbb3e6980b0b2bd85eed13fc22152b6b2c4938e60d1a8c2a5d1b52a,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,5455113156a509d0baedd1f7b9597203b41cd5f6246c848b2950202f50e7b586,MATERIALIZED
