canary_decision_order,planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,payload_logical_sha256,input_state,execution_status
55,F3B2D002725,2725,BASELINE,F3BBG_N120_A0_Q001_R032:NULL:PRIMARY,F3BBG_N120_A0_Q001_R032,0,ff786a3b8ff73a4d6bb74372b6019b04fb8102c5a7655a565e690ff438034975,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
56,F3B2D002726,2726,BASELINE,F3BBG_N120_A0_Q001_R032:POS:PRIMARY,F3BBG_N120_A0_Q001_R032,0,4c714cbcacb5690c911ec77f4b5e618eeed6c4c82306e8d3c59b848cd433a5e5,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
57,F3B2D002851,2851,BASELINE,F3BBG_N120_A0_Q002_R046:NULL:PRIMARY,F3BBG_N120_A0_Q002_R046,0,8748bed291acb2fd2ebb11c913eb5cef385e81b658448bbbe5169e053bff90c3,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
58,F3B2D002852,2852,BASELINE,F3BBG_N120_A0_Q002_R046:POS:PRIMARY,F3BBG_N120_A0_Q002_R046,0,8f68311969b3661210bfae0ec6997c74a52e5d923a6a7e3eebba70cb2a8b033a,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
59,F3B2D002985,2985,BASELINE,F3BBG_N120_A0_Q004_R082:NULL:PRIMARY,F3BBG_N120_A0_Q004_R082,0,c1ba2179847f1ef1292d5a67c1eb7b6c6f3e25fbaa983bf447b2c1d667ec7198,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
60,F3B2D002986,2986,BASELINE,F3BBG_N120_A0_Q004_R082:POS:PRIMARY,F3BBG_N120_A0_Q004_R082,0,613d5468ab241e0e52a99b1605be5745e5b9c490ba0ba44632336696ec3a2a79,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
61,F3B2D003025,3025,BASELINE,F3BBG_N120_A1_Q001_R024:NULL:PRIMARY,F3BBG_N120_A1_Q001_R024,0,2e5e199aa1acc37f0615863204ff51698d9eb634017fdbb97d3f402eae843e99,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
62,F3B2D003026,3026,BASELINE,F3BBG_N120_A1_Q001_R024:POS:PRIMARY,F3BBG_N120_A1_Q001_R024,0,28126f30e7897e9bc3f6479bdeb3d3e61dba59ab48c0188bd0bf5ede1f7b527a,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
63,F3B2D003101,3101,BASELINE,F3BBG_N120_A1_Q002_R004:NULL:PRIMARY,F3BBG_N120_A1_Q002_R004,0,9f36d5d67ab4ec18aad186868c74a7e51d6a286184a361bbaac47584e8f59260,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
64,F3B2D003102,3102,BASELINE,F3BBG_N120_A1_Q002_R004:POS:PRIMARY,F3BBG_N120_A1_Q002_R004,0,cafcedb237aa575154de3accb1e691559ae6e2b6ff4c654dce9b3d5573f89f6b,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
65,F3B2D003261,3261,BASELINE,F3BBG_N120_A1_Q004_R058:NULL:PRIMARY,F3BBG_N120_A1_Q004_R058,0,e8b6fb252396e8225c81b4aabeb7e47f2f3d82d0bea81c7b9dad0222bf74deb9,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
