simulation_unit_id,background_realization_id,truth_state,evidence_plane,gap_quality_regime,retained_cadences,finite_time_flux,strictly_increasing_time,native_indices_consecutive,no_duplicate_times,no_duplicate_native_indices,regular_cadence_tolerance_s,peak_retained,all_triggered_reasons,primary_inadmissibility_reason,irregular_sampling_details,input_state,materialization_status
F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R019:NULL:PRIMARY,F3BBG_N015_A0_Q001_R019,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R019:POS:PRIMARY,F3BBG_N015_A0_Q001_R019,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R025:NULL:PRIMARY,F3BBG_N015_A0_Q001_R025,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R025:POS:PRIMARY,F3BBG_N015_A0_Q001_R025,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R028:NULL:PRIMARY,F3BBG_N015_A0_Q001_R028,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R028:POS:PRIMARY,F3BBG_N015_A0_Q001_R028,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R029:NULL:PRIMARY,F3BBG_N015_A0_Q001_R029,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R029:POS:PRIMARY,F3BBG_N015_A0_Q001_R029,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R030:NULL:PRIMARY,F3BBG_N015_A0_Q001_R030,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R030:POS:PRIMARY,F3BBG_N015_A0_Q001_R030,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R031:NULL:PRIMARY,F3BBG_N015_A0_Q001_R031,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R031:POS:PRIMARY,F3BBG_N015_A0_Q001_R031,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R033:NULL:PRIMARY,F3BBG_N015_A0_Q001_R033,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R033:POS:PRIMARY,F3BBG_N015_A0_Q001_R033,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R034:NULL:PRIMARY,F3BBG_N015_A0_Q001_R034,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R034:POS:PRIMARY,F3BBG_N015_A0_Q001_R034,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R035:NULL:PRIMARY,F3BBG_N015_A0_Q001_R035,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R035:POS:PRIMARY,F3BBG_N015_A0_Q001_R035,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R036:NULL:PRIMARY,F3BBG_N015_A0_Q001_R036,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R036:POS:PRIMARY,F3BBG_N015_A0_Q001_R036,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R037:NULL:PRIMARY,F3BBG_N015_A0_Q001_R037,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R037:POS:PRIMARY,F3BBG_N015_A0_Q001_R037,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R038:NULL:PRIMARY,F3BBG_N015_A0_Q001_R038,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R038:POS:PRIMARY,F3BBG_N015_A0_Q001_R038,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R039:NULL:PRIMARY,F3BBG_N015_A0_Q001_R039,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
