simulation_unit_id,planned_decision_id,background_realization_id,n_samples,red_noise_alpha,qpp_fraction,true_period_s,recovered_period_s,absolute_period_error_s,relative_period_error,log_period_ratio,classification_outcome,period_label,period_recovery_status,nonselected_m1_center_used
F3BBG_N120_A0_Q004_R039:POS:PRIMARY,F3B5_HO_D2936,F3BBG_N120_A0_Q004_R039,120,0.0,0.04,98.57306210580624,101.58441178057552,3.011349674769278,0.03054941796915022,0.03009207553009472,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R046:POS:PRIMARY,F3B5_HO_D2938,F3BBG_N120_A0_Q004_R046,120,0.0,0.04,62.27863878083842,63.28242479057704,1.0037860097386186,0.016117661358511556,0.015989150874744066,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R048:POS:PRIMARY,F3B5_HO_D2940,F3BBG_N120_A0_Q004_R048,120,0.0,0.04,45.87256546628876,45.62497512615886,0.24759034012990355,0.005397351066223992,-0.00541196938936479,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R051:POS:PRIMARY,F3B5_HO_D2942,F3BBG_N120_A0_Q004_R051,120,0.0,0.04,96.88638943667776,97.0858414488431,0.19945201216533803,0.0020586174521003728,0.00205650140278645,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R055:POS:PRIMARY,F3B5_HO_D2946,F3BBG_N120_A0_Q004_R055,120,0.0,0.04,57.77484052056487,57.37239803963139,0.40244248093348034,0.006965704748076829,-0.006990078522353075,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R058:POS:PRIMARY,F3B5_HO_D2950,F3BBG_N120_A0_Q004_R058,120,0.0,0.04,55.703735393922564,56.365023925292995,0.6612885313704311,0.011871529381180055,0.011801615554990973,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R060:POS:PRIMARY,F3B5_HO_D2952,F3BBG_N120_A0_Q004_R060,120,0.0,0.04,48.281247926244674,48.681206176006484,0.39995824976180927,0.00828392526996802,0.008249801881905872,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R064:POS:PRIMARY,F3B5_HO_D2958,F3BBG_N120_A0_Q004_R064,120,0.0,0.04,72.16413080351703,73.46457420453162,1.30044340101459,0.018020634164573224,0.017860187239780743,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R065:POS:PRIMARY,F3B5_HO_D2960,F3BBG_N120_A0_Q004_R065,120,0.0,0.04,60.015496717961824,59.96567218052997,0.04982453743185289,0.0008301945356879981,-0.0008305393380200931,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R067:POS:PRIMARY,F3B5_HO_D2962,F3BBG_N120_A0_Q004_R067,120,0.0,0.04,44.89240308233687,44.95852143093258,0.0661183485957082,0.0014728182065558166,0.0014717346735885577,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
