simulation_unit_id,planned_decision_id,background_realization_id,truth_state,qpp_selected,delta_bic_0_1,delta_bic_2_1,baseline_threshold_01,baseline_threshold_21,baseline_comparison,baseline_selected_recomputed,baseline_rule_agreement,classification_outcome,input_state,n_samples,red_noise_alpha,qpp_fraction,true_period_s,truth_usage,evaluation_scope
F3BBG_N060_A1_Q004_R043:POS:PRIMARY,F3B5_HO_D2346,F3BBG_N060_A1_Q004_R043,SYNTHETIC_QPP_PRESENT,True,14.58323921028736,19.236300307508486,10.0,10.0,STRICT_GREATER_THAN,True,True,TP,ELIGIBLE_FOR_AFINO,60,1.0,0.04,45.797321245491254,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R047:NULL:PRIMARY,F3B5_HO_D2347,F3BBG_N060_A1_Q004_R047,SYNTHETIC_QPP_ABSENT,False,-8.703334373018436,-2.6479504635896376,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R047:POS:PRIMARY,F3B5_HO_D2348,F3BBG_N060_A1_Q004_R047,SYNTHETIC_QPP_PRESENT,False,5.739983019594149,9.420237621978146,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,42.440968671243084,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R048:NULL:PRIMARY,F3B5_HO_D2349,F3BBG_N060_A1_Q004_R048,SYNTHETIC_QPP_ABSENT,False,-9.316019605968819,-2.6539425840077513,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R048:POS:PRIMARY,F3B5_HO_D2350,F3BBG_N060_A1_Q004_R048,SYNTHETIC_QPP_PRESENT,False,-9.368219610372392,-2.822667159581073,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,185.54068000583683,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R049:NULL:PRIMARY,F3B5_HO_D2351,F3BBG_N060_A1_Q004_R049,SYNTHETIC_QPP_ABSENT,False,-8.95918081912194,-3.103068933213706,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R049:POS:PRIMARY,F3B5_HO_D2352,F3BBG_N060_A1_Q004_R049,SYNTHETIC_QPP_PRESENT,False,-7.999465697743915,-3.525915050933861,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,223.46114390801588,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R054:NULL:PRIMARY,F3B5_HO_D2353,F3BBG_N060_A1_Q004_R054,SYNTHETIC_QPP_ABSENT,False,-9.821949114383244,-3.2743136708124894,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R054:POS:PRIMARY,F3B5_HO_D2354,F3BBG_N060_A1_Q004_R054,SYNTHETIC_QPP_PRESENT,False,7.013778695232531,12.054186441696856,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,43.64668483371859,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R057:NULL:PRIMARY,F3B5_HO_D2355,F3BBG_N060_A1_Q004_R057,SYNTHETIC_QPP_ABSENT,False,-9.678160457448854,-3.599484045948998,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
