simulation_unit_id,background_realization_id,truth_state,evidence_plane,gap_quality_regime,input_state,materialization_status,classifier_decision_expected,classifier_decision_present,planned_decision_id,decision_status,qpp_selected,truth_join_status
F3BBG_N015_A0_Q001_R011:POS:PRIMARY,F3BBG_N015_A0_Q001_R011,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0014,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,F3BBG_N015_A0_Q001_R014,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0015,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R014:POS:PRIMARY,F3BBG_N015_A0_Q001_R014,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0016,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R015:NULL:PRIMARY,F3BBG_N015_A0_Q001_R015,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0017,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R015:POS:PRIMARY,F3BBG_N015_A0_Q001_R015,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0018,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R016:NULL:PRIMARY,F3BBG_N015_A0_Q001_R016,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0019,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R016:POS:PRIMARY,F3BBG_N015_A0_Q001_R016,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0020,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R017:NULL:PRIMARY,F3BBG_N015_A0_Q001_R017,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0021,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R017:POS:PRIMARY,F3BBG_N015_A0_Q001_R017,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0022,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R018:NULL:PRIMARY,F3BBG_N015_A0_Q001_R018,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0023,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R018:POS:PRIMARY,F3BBG_N015_A0_Q001_R018,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0024,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R020:NULL:PRIMARY,F3BBG_N015_A0_Q001_R020,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0025,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R020:POS:PRIMARY,F3BBG_N015_A0_Q001_R020,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0026,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R021:NULL:PRIMARY,F3BBG_N015_A0_Q001_R021,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0027,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R021:POS:PRIMARY,F3BBG_N015_A0_Q001_R021,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0028,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R022:NULL:PRIMARY,F3BBG_N015_A0_Q001_R022,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0029,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R022:POS:PRIMARY,F3BBG_N015_A0_Q001_R022,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0030,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R023:NULL:PRIMARY,F3BBG_N015_A0_Q001_R023,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0031,VALID,False,JOINED_PRIMARY
