replicate_index,strata_count,sampled_background_draws,positive_denominator,null_denominator,draw_indices_sha256,baseline_TP,baseline_FN,baseline_TN,baseline_FP,candidate_TP,candidate_FN,candidate_TN,candidate_FP,baseline_sensitivity,candidate_sensitivity,candidate_minus_baseline_sensitivity,baseline_specificity,candidate_specificity,candidate_minus_baseline_specificity,baseline_FPR,candidate_FPR,candidate_minus_baseline_FPR,baseline_balanced_accuracy,candidate_balanced_accuracy,candidate_minus_baseline_balanced_accuracy
12,36,1800,1800,1800,74b792920915f2e8d87f9a3a87687789b8c95548d1dc88f42381d9d19c1fe0ea,141,1659,1800,0,1136,664,1128,672,0.07833333333333334,0.6311111111111111,0.5527777777777777,1.0,0.6266666666666667,-0.3733333333333333,0.0,0.37333333333333335,0.37333333333333335,0.5391666666666667,0.6288888888888888,0.08972222222222215
13,36,1800,1800,1800,9c1a32ffd11a19383f98995be9223c699fe16744f502e182533339598b911793,133,1667,1799,1,1168,632,1119,681,0.07388888888888889,0.6488888888888888,0.575,0.9994444444444445,0.6216666666666667,-0.37777777777777777,0.0005555555555555556,0.37833333333333335,0.3777777777777778,0.5366666666666666,0.6352777777777778,0.0986111111111112
14,36,1800,1800,1800,3faf7b0b26328a7057a4123f99bdcfb9a28b8d0b9f0675a883d51ba34ba18067,160,1640,1800,0,1190,610,1101,699,0.08888888888888889,0.6611111111111111,0.5722222222222222,1.0,0.6116666666666667,-0.3883333333333333,0.0,0.3883333333333333,0.3883333333333333,0.5444444444444444,0.6363888888888889,0.0919444444444445
15,36,1800,1800,1800,67152ac07da648518bb435d1ba31101fb6fd882b523ffd744a045b84941f6352,149,1651,1800,0,1178,622,1103,697,0.08277777777777778,0.6544444444444445,0.5716666666666668,1.0,0.6127777777777778,-0.38722222222222225,0.0,0.38722222222222225,0.38722222222222225,0.5413888888888889,0.6336111111111111,0.0922222222222222
16,36,1800,1800,1800,3c032d998e13dbbc08414c9d4f142e21791f74b86a00abef804fdef1de27821f,149,1651,1800,0,1171,629,1111,689,0.08277777777777778,0.6505555555555556,0.5677777777777777,1.0,0.6172222222222222,-0.3827777777777778,0.0,0.3827777777777778,0.3827777777777778,0.5413888888888889,0.633888888888889,0.09250000000000003
17,36,1800,1800,1800,d90fac9f7bfb8be2804e1f14fdff1ae6cfe4fff89f53c1eec8831f0eadad36b8,129,1671,1800,0,1155,645,1117,683,0.07166666666666667,0.6416666666666667,0.5700000000000001,1.0,0.6205555555555555,-0.3794444444444445,0.0,0.3794444444444444,0.3794444444444444,0.5358333333333334,0.6311111111111112,0.0952777777777778
18,36,1800,1800,1800,3da8174dbc94b69bbbb9134674b027ad03947ea1c5739a439d51eadc635a6f0a,151,1649,1797,3,1170,630,1090,710,0.08388888888888889,0.65,0.5661111111111111,0.9983333333333333,0.6055555555555555,-0.3927777777777778,0.0016666666666666668,0.39444444444444443,0.3927777777777778,0.5411111111111111,0.6277777777777778,0.08666666666666667
19,36,1800,1800,1800,ac8352fbf6bea92f2b7aae8edc2783aebdbd2c4fdd860383e4842a612c51be8e,143,1657,1798,2,1151,649,1143,657,0.07944444444444444,0.6394444444444445,0.56,0.9988888888888889,0.635,-0.36388888888888893,0.0011111111111111111,0.365,0.3638888888888889,0.5391666666666667,0.6372222222222222,0.09805555555555556
20,36,1800,1800,1800,7fab9c22d4ddc6c6b84f460c3df4d295ec255a0fc1be4f2395cebc1af2555b5e,145,1655,1799,1,1192,608,1107,693,0.08055555555555556,0.6622222222222223,0.5816666666666667,0.9994444444444445,0.615,-0.3844444444444445,0.0005555555555555556,0.385,0.3844444444444445,0.54,0.6386111111111111,0.0986111111111111
21,36,1800,1800,1800,e9c1a39ff43d62726886808879e17937685cc258f9f3b7b74d0e0f465abcb3dd,138,1662,1800,0,1170,630,1128,672,0.07666666666666666,0.65,0.5733333333333334,1.0,0.6266666666666667,-0.3733333333333333,0.0,0.37333333333333335,0.37333333333333335,0.5383333333333333,0.6383333333333334,0.10000000000000009
