simulation_unit_id,planned_decision_id,background_realization_id,n_samples,red_noise_alpha,qpp_fraction,true_period_s,recovered_period_s,absolute_period_error_s,relative_period_error,log_period_ratio,classification_outcome,period_label,period_recovery_status,nonselected_m1_center_used
F3BBG_N120_A0_Q004_R008:POS:PRIMARY,F3B2D002910,F3BBG_N120_A0_Q004_R008,120,0.0,0.04,95.51388209874949,97.91306614225968,2.399184043510189,0.025118694694345384,0.024808405587903943,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R009:POS:PRIMARY,F3B2D002912,F3BBG_N120_A0_Q004_R009,120,0.0,0.04,111.03389893275312,111.03002680272726,0.0038721300258544034,3.487340409616284e-05,-3.4874012187430405e-05,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R010:POS:PRIMARY,F3B2D002914,F3BBG_N120_A0_Q004_R010,120,0.0,0.04,95.29764363939113,99.03198653045544,3.7343428910643155,0.03918609892596264,0.03843780957766552,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R013:POS:PRIMARY,F3B2D002918,F3BBG_N120_A0_Q004_R013,120,0.0,0.04,112.23617142678613,114.74628251128131,2.510111084495179,0.022364546585880062,0.022118127382881166,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R014:POS:PRIMARY,F3B2D002920,F3BBG_N120_A0_Q004_R014,120,0.0,0.04,88.34976120898448,91.60951029062973,3.2597490816452535,0.03689595803133606,0.03623159444674783,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R016:POS:PRIMARY,F3B2D002922,F3BBG_N120_A0_Q004_R016,120,0.0,0.04,87.6566232962869,88.41943523972343,0.7628119434365317,0.008702273881326252,0.008664627345296164,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R021:POS:PRIMARY,F3B2D002926,F3BBG_N120_A0_Q004_R021,120,0.0,0.04,46.3483709581612,46.29387073589947,0.0545002222617299,0.001175882153677578,-0.0011765740455393,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R024:POS:PRIMARY,F3B2D002928,F3BBG_N120_A0_Q004_R024,120,0.0,0.04,47.551712339698355,48.367888259095615,0.81617591939726,0.017163964855075868,0.01701832811751205,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R025:POS:PRIMARY,F3B2D002930,F3BBG_N120_A0_Q004_R025,120,0.0,0.04,46.491293238514366,46.747933580853704,0.2566403423393382,0.005520180757775349,0.005505000399898824,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
F3BBG_N120_A0_Q004_R027:POS:PRIMARY,F3B2D002932,F3BBG_N120_A0_Q004_R027,120,0.0,0.04,54.058998823745895,53.740325982509795,0.3186728412361006,0.005894908307035105,-0.005912351864907392,TP,recovered_period_selected,FINITE_SELECTED_TRUE_POSITIVE,False
