simulation_unit_id,background_realization_id,seed_count,seed0_selected,selected_seed_count,classification_state_set,discordant_vs_seed0_count,discordant_vs_seed0_fraction,bic_m0_range,bic_m1_range,bic_m2_range,delta01_range,delta21_range,formal_m1_center_range,formal_m1_period_range_s_when_defined,unique_parameter_payloads_m0,unique_parameter_payloads_m1,unique_parameter_payloads_m2,warning_calls_by_model,warning_count_by_model,bound_calls_by_model,convergence_status_set
F3BBG_N030_A2_Q001_R040:NULL:PRIMARY,F3BBG_N030_A2_Q001_R040,10,false,0,NOT_SELECTED,0,0.0,7.190692485892214e-12,0.10244067668981671,0.16469447612157495,0.10244067668759271,0.25169206344044426,0.15029417237634046,41.863554854293284,10,10,10,"{""M0"":0,""M1"":0,""M2"":2}","{""M0"":0,""M1"":0,""M2"":14}","{""M0"":0,""M1"":7,""M2"":3}",NOT_AUDITABLE
F3BBG_N030_A2_Q001_R040:POS:PRIMARY,F3BBG_N030_A2_Q001_R040,10,false,0,NOT_SELECTED,0,0.0,4.6564679223592975e-08,3.137782810824774e-05,0.1422148021442382,3.1340733578133495e-05,0.1422425321178622,0.15055971334851392,40.459468943855114,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":3,""M1"":0,""M2"":9}",NOT_AUDITABLE
F3BBG_N030_A2_Q002_R014:NULL:PRIMARY,F3BBG_N030_A2_Q002_R014,10,false,0,NOT_SELECTED,0,0.0,2.3575807972520124e-11,0.1365015181721958,0.08826024616594452,0.13650151817191158,0.2247617608161221,0.0717204051473832,20.762668849622287,10,10,10,"{""M0"":0,""M1"":0,""M2"":2}","{""M0"":0,""M1"":0,""M2"":2}","{""M0"":0,""M1"":8,""M2"":3}",NOT_AUDITABLE
F3BBG_N030_A2_Q002_R014:POS:PRIMARY,F3BBG_N030_A2_Q002_R014,10,false,0,NOT_SELECTED,0,0.0,4.973799150320701e-12,0.10699628722893806,0.14459303982684446,0.10699628723382659,0.25158912720718263,1.3043906515462949,218.59865281059703,10,10,10,"{""M0"":0,""M1"":0,""M2"":2}","{""M0"":0,""M1"":0,""M2"":18}","{""M0"":0,""M1"":3,""M2"":2}",NOT_AUDITABLE
F3BBG_N030_A2_Q004_R065:NULL:PRIMARY,F3BBG_N030_A2_Q004_R065,10,false,0,NOT_SELECTED,0,0.0,5.6132876125047915e-12,0.1943124289433058,0.18412670370832984,0.19431242894242473,0.37607506518439493,0.17624510107749192,48.476261293952945,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":6,""M2"":3}",NOT_AUDITABLE
F3BBG_N030_A2_Q004_R065:POS:PRIMARY,F3BBG_N030_A2_Q004_R065,10,false,0,NOT_SELECTED,0,0.0,7.986500349943526e-12,0.06073667455275,0.14520930279559963,0.06073667455324738,0.20593485922881882,1.1619209633898095,98.04371342694574,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":1,""M2"":1}",NOT_AUDITABLE
F3BBG_N060_A0_Q001_R024:NULL:PRIMARY,F3BBG_N060_A0_Q001_R024,10,false,0,NOT_SELECTED,0,0.0,5.8548721426632255e-12,6.458802204178937e-07,0.4367728021624089,6.458856773861044e-07,0.43677343320740647,2.366362459804705e-05,0.0011689941987071961,10,10,10,"{""M0"":0,""M1"":0,""M2"":7}","{""M0"":0,""M1"":0,""M2"":22}","{""M0"":0,""M1"":9,""M2"":10}",NOT_AUDITABLE
F3BBG_N060_A0_Q001_R024:POS:PRIMARY,F3BBG_N060_A0_Q001_R024,10,false,0,NOT_SELECTED,0,0.0,1.9326762412674725e-11,1.0239725725114113e-06,0.3208235497012879,1.023971492486453e-06,0.32082398120056155,1.4943404700762386e-05,0.000739661647529033,10,10,10,"{""M0"":0,""M1"":0,""M2"":4}","{""M0"":0,""M1"":0,""M2"":23}","{""M0"":0,""M1"":7,""M2"":10}",NOT_AUDITABLE
F3BBG_N060_A0_Q002_R021:NULL:PRIMARY,F3BBG_N060_A0_Q002_R021,10,false,0,NOT_SELECTED,0,0.0,8.810729923425242e-12,2.3124187009671004e-09,0.7761218613354401,2.3150050765252672e-09,0.7761218612778578,1.1134607706964061e-06,5.342194631197117e-05,10,10,10,"{""M0"":0,""M1"":0,""M2"":6}","{""M0"":0,""M1"":0,""M2"":58}","{""M0"":0,""M1"":10,""M2"":10}",NOT_AUDITABLE
F3BBG_N060_A0_Q002_R021:POS:PRIMARY,F3BBG_N060_A0_Q002_R021,10,false,0,NOT_SELECTED,0,0.0,1.0402345651527867e-11,4.705242417912814e-09,0.7482953866249886,4.705839273810852e-09,0.7482953908242962,2.53601794231173e-06,0.00012165040123335302,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":48}","{""M0"":0,""M1"":10,""M2"":8}",NOT_AUDITABLE
