planned_decision_id,decision_order,decision_class,simulation_unit_id,external_optimizer_seed,payload_logical_sha256,n_samples,mean_dt_external_s,median_dt_external_s,afino_dt_m0_s,afino_dt_m1_s,afino_dt_m2_s,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,mean_dt_contract_match,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_positive_bin_count_m0,afino_positive_bin_count_m1,afino_positive_bin_count_m2,positive_fftfreq_match_m0,positive_fftfreq_match_m1,positive_fftfreq_match_m2,positive_fftfreq_contract_match,legacy_rfftfreq_match_m0,legacy_rfftfreq_match_m1,legacy_rfftfreq_match_m2
F3B5_HO_D0020,20,BASELINE,F3BBG_N015_A0_Q001_R016:POS:PRIMARY,0,6a5d93a46b9ad014ed97686f8f9e680707b20179aea57a532dfc8e478cf61d3c,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0021,21,BASELINE,F3BBG_N015_A0_Q001_R017:NULL:PRIMARY,0,330341933ea05ea10fb318b3ca38281b8bcc03c609283f8e569aaf8f02396f33,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0022,22,BASELINE,F3BBG_N015_A0_Q001_R017:POS:PRIMARY,0,684645d766afb10dd44028947166a340905467ff7cc7fa1777181684d864538a,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0023,23,BASELINE,F3BBG_N015_A0_Q001_R018:NULL:PRIMARY,0,ea66a9d8fdfcbd5d42ee04e3697c67207867103def86b832f967b94ec7f26527,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0024,24,BASELINE,F3BBG_N015_A0_Q001_R018:POS:PRIMARY,0,5dcb80d20a89e393140b5619d26e38ce8891cf1cf7c8beab7f58412b3dc10182,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0025,25,BASELINE,F3BBG_N015_A0_Q001_R020:NULL:PRIMARY,0,07d57afcea45563e490c2dfb337d9944adf3f7687bbf0ae4b7e24e5dbff985e1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0026,26,BASELINE,F3BBG_N015_A0_Q001_R020:POS:PRIMARY,0,6f128f3f0a9d696d4ccb3454b023de6a67b08a526b9de751f9efe264ddc7eaa8,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0027,27,BASELINE,F3BBG_N015_A0_Q001_R021:NULL:PRIMARY,0,1ae22ff432d0f39c9d1bd97373c166dd1ba6e37ac3acabf1db57846f352e68ce,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0028,28,BASELINE,F3BBG_N015_A0_Q001_R021:POS:PRIMARY,0,1de7ccb9dd7100780f9daa8c01404fd7e7928fa16aec69ab02e8055a54fba13b,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0029,29,BASELINE,F3BBG_N015_A0_Q001_R022:NULL:PRIMARY,0,7bf612f8ccff93a7cf3f345c8ccfdd2dd5a26cbe2b395cec40d91d85a399a1a9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
