contrast_id,event_id,pair_id,observational_role,window_variant_id,left_processing_profile_id,right_processing_profile_id,left_variant_id,right_variant_id,left_primary_outcome,right_primary_outcome,left_admissibility_status,right_admissibility_status,left_inadmissibility_reason,right_inadmissibility_reason,comparability_status,selection_transition,change_delta_bic_0_1,change_delta_bic_2_1,change_joint_margin
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,P01,F2V000001,F2V000002,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-20.56940037841324,-14.567612219901939,-18.135807626946885
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,P02,F2V000001,F2V000003,SELECTED,SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→1,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P01,P03,F2V000002,F2V000004,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,P04,F2V000001,F2V000005,SELECTED,SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→1,-0.8707382510477579,-0.6207971537516723,-0.6207971537516723
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P01,P05,F2V000002,F2V000006,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.011766694550260581,0.013278816118763359,0.011766694550260581
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P02,P03,F2V000003,F2V000004,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-20.56940037841324,-14.567612219901939,-18.135807626946885
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,P01,F2V000007,F2V000008,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.15120431856860606,1.5855148250309021,-0.15120431856860606
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,P02,F2V000007,F2V000009,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P01,P03,F2V000008,F2V000010,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,P04,F2V000007,F2V000011,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.623127700126088,-0.35657822016798235,-0.6231277001260871
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P01,P05,F2V000008,F2V000012,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-1.14162260265633,-1.1606609792123734,-1.14162260265633
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P02,P03,F2V000009,F2V000010,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.15120431856860606,1.5855148250309021,-0.15120431856860606
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P00,P01,F2V000013,F2V000014,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-5.413455055071962,-2.434311222231896,-5.413455055071962
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P00,P02,F2V000013,F2V000015,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P01,P03,F2V000014,F2V000016,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P00,P04,F2V000013,F2V000017,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.2500080158989366,-0.4753919643900115,-0.2500080158989366
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P01,P05,F2V000014,F2V000018,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.4755911760871996,-0.48850029114947446,-0.4755911760871996
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P02,P03,F2V000015,F2V000016,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-5.413455055071962,-2.434311222231896,-5.413455055071962
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P00,P01,F2V000019,F2V000020,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P00,P02,F2V000019,F2V000021,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P01,P03,F2V000020,F2V000022,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P00,P04,F2V000019,F2V000023,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P01,P05,F2V000020,F2V000024,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp1,P02,P03,F2V000021,F2V000022,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P00,P01,F2V000025,F2V000026,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P00,P02,F2V000025,F2V000027,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P01,P03,F2V000026,F2V000028,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P00,P04,F2V000025,F2V000029,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P01,P05,F2V000026,F2V000030,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSp2,P02,P03,F2V000027,F2V000028,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P00,P01,F2V000031,F2V000032,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P00,P02,F2V000031,F2V000033,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P01,P03,F2V000032,F2V000034,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P00,P04,F2V000031,F2V000035,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P01,P05,F2V000032,F2V000036,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm2,P02,P03,F2V000033,F2V000034,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P00,P01,F2V000037,F2V000038,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P00,P02,F2V000037,F2V000039,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P01,P03,F2V000038,F2V000040,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P00,P04,F2V000037,F2V000041,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P01,P05,F2V000038,F2V000042,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEm1,P02,P03,F2V000039,F2V000040,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,14 retained cadences; minimum is 15.,14 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P00,P01,F2V000043,F2V000044,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-12.473866061055492,-9.795691463070746,-12.473866061055492
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P00,P02,F2V000043,F2V000045,SELECTED,SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→1,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P01,P03,F2V000044,F2V000046,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P00,P04,F2V000043,F2V000047,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-0.9623483695838946,-0.7319829412206058,-0.9623483695838946
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P01,P05,F2V000044,F2V000048,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.03341028741398233,0.13608666083190357,-0.03341028741398233
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P02,P03,F2V000045,F2V000046,SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,1→0,-12.473866061055492,-9.795691463070746,-12.473866061055492
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P00,P01,F2V000049,F2V000050,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-7.402919173133457,-5.995116659040081,-7.402919173133457
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P00,P02,F2V000049,F2V000051,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P01,P03,F2V000050,F2V000052,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P00,P04,F2V000049,F2V000053,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.2242423342488511,-0.10753767748873067,-0.2242423342488511
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P01,P05,F2V000050,F2V000054,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.19347552431952764,0.19704723307112104,0.19347552431952764
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P02,P03,F2V000051,F2V000052,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-7.402919173133457,-5.995116659040081,-7.402919173133457
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P00,P01,F2V000055,F2V000056,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-8.852808347049521,-2.4662244781218714,-5.836768556700813
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P00,P02,F2V000055,F2V000057,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P01,P03,F2V000056,F2V000058,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P00,P04,F2V000055,F2V000059,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.14938381239051957,-0.2442794079676407,-0.2442794079676407
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P01,P05,F2V000056,F2V000060,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-0.5030026918011252,-0.5036934187738034,-0.5030026918011252
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P02,P03,F2V000057,F2V000058,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-8.852808347049521,-2.4662244781218714,-5.836768556700813
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P00,P01,F2V000061,F2V000062,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P00,P02,F2V000061,F2V000063,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P01,P03,F2V000062,F2V000064,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P00,P04,F2V000061,F2V000065,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P01,P05,F2V000062,F2V000066,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P02,P03,F2V000063,F2V000064,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,13 retained cadences; minimum is 15.,13 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P00,P01,F2V000067,F2V000068,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,2.35248848766427,4.876178402880228,2.352488487664269
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P00,P02,F2V000067,F2V000069,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P01,P03,F2V000068,F2V000070,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,0.0,0.0,0.0
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P00,P04,F2V000067,F2V000071,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-1.0302208837133513,-0.8003909437608101,-1.0302208837133513
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P01,P05,F2V000068,F2V000072,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,-3.9668446680620217,-3.9781559560258746,-3.9668446680620217
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P02,P03,F2V000069,F2V000070,NOT_SELECTED,NOT_SELECTED,ELIGIBLE_FOR_AFINO,ELIGIBLE_FOR_AFINO,,,BOTH_ELIGIBLE,0→0,2.35248848766427,4.876178402880228,2.352488487664269
FLUX_FINITE,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P00,P01,F2V000073,F2V000074,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,11 retained cadences; minimum is 15.,11 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P00,P02,F2V000073,F2V000075,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,11 retained cadences; minimum is 15.,11 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
QUALITY_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P01,P03,F2V000074,F2V000076,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,11 retained cadences; minimum is 15.,11 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_PDCSAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P00,P04,F2V000073,F2V000077,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,11 retained cadences; minimum is 15.,11 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
DETREND_SAP,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P01,P05,F2V000074,F2V000078,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,11 retained cadences; minimum is 15.,11 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
FLUX_Q0,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P02,P03,F2V000075,F2V000076,INPUT_INADMISSIBLE,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,TOO_FEW_CADENCES,11 retained cadences; minimum is 15.,11 retained cadences; minimum is 15.,BOTH_INADMISSIBLE,,,,
