pair_id,published_event_id,published_baseline_qpp_selected,published_planned_variants,published_eligible_variants,published_inadmissible_variants,published_selected_variants,published_not_selected_variants,published_selection_retained_n,published_selection_lost_n,control_event_id,control_baseline_qpp_selected,control_planned_variants,control_eligible_variants,control_inadmissible_variants,control_selected_variants,control_not_selected_variants,control_not_selected_retained_n,control_selection_gained_n,same_variant_both_eligible_n,same_variant_both_inadmissible_n,same_variant_one_inadmissible_n,same_variant_selection_same_n,same_variant_selection_different_n,pair_metric_interpretation
calibration_pair,published_qpp_pdcsap_all,True,78,42,36,5,37,5,37,notselected_pdcsap_all,False,78,28,50,0,28,28,0,28,36,14,25,3,descriptive_members_kept_separate
P1,P1_published_qpp_pdcsap_all,True,78,52,26,48,4,48,4,P1_not_selected_qpp_pdcsap_all,False,78,52,26,0,52,52,0,52,26,0,4,48,descriptive_members_kept_separate
P2,P2_published_qpp_pdcsap_all,True,78,52,26,42,10,42,10,P2_not_selected_qpp_pdcsap_all,False,78,52,26,0,52,52,0,52,26,0,10,42,descriptive_members_kept_separate
P3,P3_published_qpp_pdcsap_all,True,78,78,0,19,59,19,59,P3_not_selected_qpp_pdcsap_all,False,78,54,24,0,54,54,0,54,0,24,40,14,descriptive_members_kept_separate
P4,P4_published_qpp_pdcsap_all,True,78,52,26,26,26,26,26,P4_not_selected_qpp_pdcsap_all,False,78,52,26,0,52,52,0,52,26,0,26,26,descriptive_members_kept_separate
