job_id,job_order,planned_decision_id,decision_class,variant_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,n_samples,payload_start_offset,payload_end_offset,input_time_sha256,input_flux_sha256,source_fits_sha256,candidate_discovery_use,canary_order
F2J000837,837,F2D000469,primary,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,0,M2,bpow_const,19,21502,21521,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,15
F2J000838,838,F2D000470,primary,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,0,M0,pow_const,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,16
F2J000839,839,F2D000470,primary,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,0,M1,pow_const_gauss,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,17
F2J000840,840,F2D000470,primary,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,0,M2,bpow_const,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,18
F2J000841,841,F2D000471,primary,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,0,M0,pow_const,19,21540,21559,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,19
F2J000842,842,F2D000471,primary,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,0,M1,pow_const_gauss,19,21540,21559,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,20
F2J000843,843,F2D000471,primary,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,0,M2,bpow_const,19,21540,21559,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,21
F2J000844,844,F2D000472,primary,F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P03,0,M0,pow_const,19,21559,21578,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,22
F2J000845,845,F2D000472,primary,F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P03,0,M1,pow_const_gauss,19,21559,21578,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,23
F2J000846,846,F2D000472,primary,F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P03,0,M2,bpow_const,19,21559,21578,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,24
