observational_role,window_variant_id,processing_profile_id,planned_n,eligible_n,inadmissible_n,incomplete_numerical_n,selected_n,not_selected_n,baseline_concordant_n,baseline_discordant_n,eligibility_fraction,selection_fraction_among_eligible,baseline_concordance_among_eligible
MATCHED_NOT_SELECTED,WEp2,P00,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WEp2,P01,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WEp2,P02,5,1,4,0,0,1,1,0,0.2,0.0,1.0
MATCHED_NOT_SELECTED,WEp2,P03,5,1,4,0,0,1,1,0,0.2,0.0,1.0
MATCHED_NOT_SELECTED,WEp2,P04,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WEp2,P05,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WX1,P00,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WX1,P01,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WX1,P02,5,1,4,0,0,1,1,0,0.2,0.0,1.0
MATCHED_NOT_SELECTED,WX1,P03,5,1,4,0,0,1,1,0,0.2,0.0,1.0
MATCHED_NOT_SELECTED,WX1,P04,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WX1,P05,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WC1,P00,5,3,2,0,0,3,3,0,0.6,0.0,1.0
MATCHED_NOT_SELECTED,WC1,P01,5,3,2,0,0,3,3,0,0.6,0.0,1.0
MATCHED_NOT_SELECTED,WC1,P02,5,0,5,0,0,0,0,0,0.0,,
MATCHED_NOT_SELECTED,WC1,P03,5,0,5,0,0,0,0,0,0.0,,
MATCHED_NOT_SELECTED,WC1,P04,5,3,2,0,0,3,3,0,0.6,0.0,1.0
MATCHED_NOT_SELECTED,WC1,P05,5,3,2,0,0,3,3,0,0.6,0.0,1.0
MATCHED_NOT_SELECTED,WX2,P00,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WX2,P01,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WX2,P02,5,1,4,0,0,1,1,0,0.2,0.0,1.0
MATCHED_NOT_SELECTED,WX2,P03,5,1,4,0,0,1,1,0,0.2,0.0,1.0
MATCHED_NOT_SELECTED,WX2,P04,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WX2,P05,5,5,0,0,0,5,5,0,1.0,0.0,1.0
MATCHED_NOT_SELECTED,WC2,P00,5,3,2,0,0,3,3,0,0.6,0.0,1.0
MATCHED_NOT_SELECTED,WC2,P01,5,3,2,0,0,3,3,0,0.6,0.0,1.0
MATCHED_NOT_SELECTED,WC2,P02,5,0,5,0,0,0,0,0,0.0,,
MATCHED_NOT_SELECTED,WC2,P03,5,0,5,0,0,0,0,0,0.0,,
MATCHED_NOT_SELECTED,WC2,P04,5,3,2,0,0,3,3,0,0.6,0.0,1.0
MATCHED_NOT_SELECTED,WC2,P05,5,3,2,0,0,3,3,0,0.6,0.0,1.0
