job_id,job_order,planned_decision_id,decision_class,variant_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,n_samples,payload_start_offset,payload_end_offset,input_time_sha256,input_flux_sha256,input_fits_index_sha256,source_fits_sha256,median_dt_s,expected_post_cutoff_bin_count,status,bic,log_likelihood,parameters_json,formal_m1_period_s,rchi2,probability,warning_count,warning_types_json,warnings_json,parameter_at_bound,bound_indices_json,bound_hits_json,afino_effective_dt_s,post_cutoff_bin_count,positive_frequency_bin_count,minimum_frequency_hz,maximum_frequency_hz,runtime_seconds,convergence_status,error
F2J000818,818,F2D000461,primary,F2V000461,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,WX2,P04,0,M1,pow_const_gauss,182,20442,20624,4ae6c8547d9f3249eabc060dcb42fe542840cd50f67b5401560864730dac7170,e4ee1f4e1bdf85b2b00e54b95dcba8fe41488a13cd5d7f85a8c58be8c336e790,8a9b5b62e99bfaef87417b93c8f7f19130365e3901c3b5af5739109f15d17107,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,20.000232283200603,91,OK,-1079.1861609105051,550.8426046310782,"[3.866717533195281,3.651479654064438,-8.54762708411087,-9.03036132121284,-4.4231593632772785,0.11310143565211714]",83.3592318638315,0.5600191331612142,0.9470380779597787,0,[],[],False,[],[],20.00023246011491,90,90,0.0002747220816289416,0.024724987346604742,0.7389462999999523,NOT_AUDITABLE,
F2J000819,819,F2D000461,primary,F2V000461,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,WX2,P04,0,M2,bpow_const,182,20442,20624,4ae6c8547d9f3249eabc060dcb42fe542840cd50f67b5401560864730dac7170,e4ee1f4e1bdf85b2b00e54b95dcba8fe41488a13cd5d7f85a8c58be8c336e790,8a9b5b62e99bfaef87417b93c8f7f19130365e3901c3b5af5739109f15d17107,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,20.000232283200603,91,OK,-1079.4017297650569,548.7004842231889,"[-25.130565606421108,3.510264252864676,0.00604387847673672,1.0,-16.55149238380998]",,0.6848035218178482,0.8560961420736084,10,"[""RuntimeWarning: overflow encountered in exp""]","[{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31}]",True,[3],"[{""parameter_index"":3,""side"":""lower"",""value"":1.0,""bound"":1.0}]",20.00023246011491,90,90,0.0002747220816289416,0.024724987346604742,0.496707999962382,NOT_AUDITABLE,
F2J000835,835,F2D000469,primary,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,0,M0,pow_const,19,21502,21521,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,e27bdf5b0066570a1be18f6f8bde751741c93bac3d27a0ddb433f1cbcc800e2a,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,20.00023251894163,9,OK,-0.9597243265181321,2.6770867405952856,"[1.5602859780211389,3.8996702886314543,-1.8744603739611392]",,1.6098758246065057,0.2029008795843511,0,[],[],False,[],[],20.000232516758842,9,9,0.0026315483534137276,0.023683935180723547,0.2130853999988176,NOT_AUDITABLE,
F2J000836,836,F2D000469,primary,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,0,M1,pow_const_gauss,19,21502,21521,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,e27bdf5b0066570a1be18f6f8bde751741c93bac3d27a0ddb433f1cbcc800e2a,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,20.00023251894163,9,OK,-12.5787800222189,11.78245145445,"[2.5804162293090633,4.966385417111184,-20.0,-1.9828287932970732,-3.7849010566468535,0.1070874476791257]",44.031313737389596,0.6735614892874487,0.4118126586689467,0,[],[],True,[2],"[{""parameter_index"":2,""side"":""lower"",""value"":-20.0,""bound"":-20.0}]",20.000232516758842,9,9,0.0026315483534137276,0.023683935180723547,0.840213000017684,NOT_AUDITABLE,
F2J000837,837,F2D000469,primary,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,0,M2,bpow_const,19,21502,21521,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,e27bdf5b0066570a1be18f6f8bde751741c93bac3d27a0ddb433f1cbcc800e2a,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,20.00023251894163,9,OK,1.87289027375955,3.458004017792664,"[-11.177458913097778,2.073825653065253,0.005262771073297346,9.0,-1.9517016873366302]",,2.325832667357273,0.12017912224729425,0,[],[],True,[3],"[{""parameter_index"":3,""side"":""upper"",""value"":9.0,""bound"":9.0}]",20.000232516758842,9,9,0.0026315483534137276,0.023683935180723547,0.3859296000446193,NOT_AUDITABLE,
F2J000838,838,F2D000470,primary,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,0,M0,pow_const,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,e27bdf5b0066570a1be18f6f8bde751741c93bac3d27a0ddb433f1cbcc800e2a,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,20.00023251894163,9,OK,2.6727975873992866,0.8608257836365762,"[1.4380102762656446,3.8148218424759235,-1.5886519295898651]",,1.0606850115683226,0.33907276558130056,0,[],[],False,[],[],20.000232516758842,9,9,0.0026315483534137276,0.023683935180723547,0.19651919999159873,NOT_AUDITABLE,
F2J000839,839,F2D000470,primary,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,0,M1,pow_const_gauss,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,e27bdf5b0066570a1be18f6f8bde751741c93bac3d27a0ddb433f1cbcc800e2a,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,20.00023251894163,9,OK,0.640722324785866,5.172700280947616,"[2.0962642145899415,4.255649528859245,-20.0,-1.1706155782073353,-3.6888794541139363,0.2490562051086113]",40.0,0.6062695714624197,0.4361958497041065,0,[],[],True,"[2,4]","[{""parameter_index"":2,""side"":""lower"",""value"":-20.0,""bound"":-20.0},{""parameter_index"":4,""side"":""upper"",""value"":-3.6888794541139363,""bound"":-3.6888794541139363}]",20.000232516758842,9,9,0.0026315483534137276,0.023683935180723547,0.8467290000407957,NOT_AUDITABLE,
F2J000840,840,F2D000470,primary,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,0,M2,bpow_const,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,e27bdf5b0066570a1be18f6f8bde751741c93bac3d27a0ddb433f1cbcc800e2a,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,20.00023251894163,9,OK,6.961514502306008,0.9136919035194353,"[-20.264770724956627,3.65103904028499,0.010526192302533707,1.0,-1.6549831084999775]",,1.4883945709311164,0.22629952778079335,22,"[""RuntimeWarning: invalid value encountered in subtract"",""RuntimeWarning: overflow encountered in exp""]","[{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710},{""category"":""RuntimeWarning"",""message"":""overflow encountered in exp"",""filename"":""afino_spectral_models.py"",""lineno"":31},{""category"":""RuntimeWarning"",""message"":""invalid value encountered in subtract"",""filename"":""_numdiff.py"",""lineno"":710}]",True,[3],"[{""parameter_index"":3,""side"":""lower"",""value"":1.0,""bound"":1.0}]",20.000232516758842,9,9,0.0026315483534137276,0.023683935180723547,0.4163482000003569,NOT_AUDITABLE,
F2J000841,841,F2D000471,primary,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,0,M0,pow_const,19,21540,21559,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,e27bdf5b0066570a1be18f6f8bde751741c93bac3d27a0ddb433f1cbcc800e2a,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,20.00023251894163,9,OK,-0.9597243265181321,2.6770867405952856,"[1.5602859780211389,3.8996702886314543,-1.8744603739611392]",,1.6098758246065057,0.2029008795843511,0,[],[],False,[],[],20.000232516758842,9,9,0.0026315483534137276,0.023683935180723547,0.21258880000095814,NOT_AUDITABLE,
F2J000842,842,F2D000471,primary,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,0,M1,pow_const_gauss,19,21540,21559,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,e27bdf5b0066570a1be18f6f8bde751741c93bac3d27a0ddb433f1cbcc800e2a,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,20.00023251894163,9,OK,-12.5787800222189,11.78245145445,"[2.5804162293090633,4.966385417111184,-20.0,-1.9828287932970732,-3.7849010566468535,0.1070874476791257]",44.031313737389596,0.6735614892874487,0.4118126586689467,0,[],[],True,[2],"[{""parameter_index"":2,""side"":""lower"",""value"":-20.0,""bound"":-20.0}]",20.000232516758842,9,9,0.0026315483534137276,0.023683935180723547,0.8557619000202976,NOT_AUDITABLE,
