simulation_unit_id,background_realization_id,latent_array_file,latent_offset,latent_length,latent_flux_sha256,retained_time_array_file,retained_flux_array_file,retained_native_index_array_file,retained_offset,retained_length,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,materialization_status
F3BBG_N120_A0_Q004_R051:POS:PEAKMASK,F3BBG_N120_A0_Q004_R051,latent_flux.npy,148440,120,8ab5e5001d8878e0f630aa11c43ae1258d14f1f94a95b0dd5dc620d13ee5e322,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,147849,119,d0ad6727864f7f2c30d47e9fea26556a81dbcf836bb2cb8e748802179ef3bf27,d7c87494e48f57023c29797a6639568918f4b03aef579bc539d8f3ca01f09d2a,601f3bae3a58453c8e1df29a905b6be074d453a4c35882c151f48a9955105733,783b692e6e9a2695716c4e9752fff8601c8f503ca374315c57fd12cbbb3f52f7,MATERIALIZED
F3BBG_N120_A0_Q004_R051:POS:PRIMARY,F3BBG_N120_A0_Q004_R051,latent_flux.npy,148560,120,8ab5e5001d8878e0f630aa11c43ae1258d14f1f94a95b0dd5dc620d13ee5e322,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,147968,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,8ab5e5001d8878e0f630aa11c43ae1258d14f1f94a95b0dd5dc620d13ee5e322,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,16d81c87fed65460e9ba06a87b11fafe03a8eddbcabe606a2c6c438d0d52cdee,MATERIALIZED
F3BBG_N120_A0_Q004_R052:NULL:PRIMARY,F3BBG_N120_A0_Q004_R052,latent_flux.npy,148680,120,1b09af4acb1d87b52efe79cae92873bdb2ed4459e98d9420361faaef151594e2,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148088,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,1b09af4acb1d87b52efe79cae92873bdb2ed4459e98d9420361faaef151594e2,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,b6d8071235ade35ad1ff4de47b12e31f105d0e620a2f85863bc8d8ce362814a8,MATERIALIZED
F3BBG_N120_A0_Q004_R052:POS:PRIMARY,F3BBG_N120_A0_Q004_R052,latent_flux.npy,148800,120,65f255298d76d37c251a18845a6d85a1eb70e002f89250c8321a4fe86de085fd,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148208,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,65f255298d76d37c251a18845a6d85a1eb70e002f89250c8321a4fe86de085fd,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,1ec8256cf475226c645f3aa38bb2ce603235584792a19ac879880ea5c174139a,MATERIALIZED
F3BBG_N120_A0_Q004_R055:NULL:PRIMARY,F3BBG_N120_A0_Q004_R055,latent_flux.npy,148920,120,848e2aec34ef536e2f0dc87873b70908ee79a0708553d2498750f42bdc325033,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148328,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,848e2aec34ef536e2f0dc87873b70908ee79a0708553d2498750f42bdc325033,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,794cc10e74cc790f83645fa1cd94032fe1da3528384a6da76340999bca0c5af5,MATERIALIZED
F3BBG_N120_A0_Q004_R055:POS:PRIMARY,F3BBG_N120_A0_Q004_R055,latent_flux.npy,149040,120,e470f00f0088843f346ee8642109c32d80b92b02670ac764c11ca8983d57e5f0,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148448,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,e470f00f0088843f346ee8642109c32d80b92b02670ac764c11ca8983d57e5f0,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,3c3e3b0ad4105255f36b3ad7b434e4d21845e8da81d73755685a4e06aec25b30,MATERIALIZED
F3BBG_N120_A0_Q004_R056:NULL:PRIMARY,F3BBG_N120_A0_Q004_R056,latent_flux.npy,149160,120,908409d525595160eb03905581f47d3bbce0b5a77f7d6b97719e2f39389b982d,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148568,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,908409d525595160eb03905581f47d3bbce0b5a77f7d6b97719e2f39389b982d,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,295edfa99514a4ccd907f21916c4aa0ada769fa48af31cd4b87ca4aae0d97afa,MATERIALIZED
F3BBG_N120_A0_Q004_R056:POS:PRIMARY,F3BBG_N120_A0_Q004_R056,latent_flux.npy,149280,120,95e04638d41c39e660a6680e6f9798ae485cf1744fa92a18431d0d0e3a596396,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148688,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,95e04638d41c39e660a6680e6f9798ae485cf1744fa92a18431d0d0e3a596396,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,65001d6a83cc247c83033f0e5c9dc0ea7675a7f955c253e26858f11a6e0f8207,MATERIALIZED
F3BBG_N120_A0_Q004_R058:NULL:PRIMARY,F3BBG_N120_A0_Q004_R058,latent_flux.npy,149400,120,c92f9af86617c7c3388d6ffe0d967f3dea492ad3a23a599f56800ef9bb8d6421,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148808,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,c92f9af86617c7c3388d6ffe0d967f3dea492ad3a23a599f56800ef9bb8d6421,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,09963516f3c2c75aaaa3c16f4bf35f21e1aa7d09acf9d332c4ac45dcd70689c2,MATERIALIZED
F3BBG_N120_A0_Q004_R058:POS:PRIMARY,F3BBG_N120_A0_Q004_R058,latent_flux.npy,149520,120,9102fac1752599daf86eecc40434b1667e133d97b749cfbd49e90406170b2318,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148928,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,9102fac1752599daf86eecc40434b1667e133d97b749cfbd49e90406170b2318,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,0af081e0644042e6bedd8bf92c85c09578f6e6559ca37c8113293a028245bf75,MATERIALIZED
