time_vector_id,n_samples,cadence_s,duration_s,start_offset,end_offset,time_sha256,all_finite,strictly_increasing
T_N015,15,20,280,0,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,true,true
T_N030,30,20,580,15,45,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,true,true
T_N060,60,20,1180,45,105,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,true,true
T_N120,120,20,2380,105,225,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,true,true
