job_id,job_order,job_class,series_id,condition_id,parent_id,block_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,model_id,model_name,flux_start_offset,flux_end_offset,time_vector_id,input_flux_sha256,input_time_sha256,parent_n120_series_id
NWJ006967,6967,stability,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,45,880,0,,,0,1,M0,pow_const,16200,16245,NT_N045,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801
NWJ006968,6968,stability,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,45,880,0,,,0,1,M1,pow_const_gauss,16200,16245,NT_N045,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801
NWJ006969,6969,stability,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,45,880,0,,,0,1,M2,bpow_const,16200,16245,NT_N045,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801
NWJ003241,3241,primary,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,60,1180,0,,,0,0,M0,pow_const,32400,32460,NT_N060,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801
NWJ003242,3242,primary,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,60,1180,0,,,0,0,M1,pow_const_gauss,32400,32460,NT_N060,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801
NWJ003243,3243,primary,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,60,1180,0,,,0,0,M2,bpow_const,32400,32460,NT_N060,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801
NWJ007210,7210,stability,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,60,1180,0,,,0,1,M0,pow_const,32400,32460,NT_N060,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801
NWJ007211,7211,stability,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,60,1180,0,,,0,1,M1,pow_const_gauss,32400,32460,NT_N060,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801
NWJ007212,7212,stability,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,60,1180,0,,,0,1,M2,bpow_const,32400,32460,NT_N060,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801
NWJ004321,4321,primary,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,90,1780,0,,,0,0,M0,pow_const,54000,54090,NT_N090,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801
