job_id,job_class,series_id,condition_id,parent_id,block_id,ground_truth,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,model_id,model_name,status,runtime_seconds,n_samples,input_flux_sha256,input_time_sha256,parent_n120_series_id,afino_effective_dt_s,positive_frequency_bins,bins_after_cutoff,minimum_frequency_hz,maximum_frequency_hz,lnlike,BIC,rchi2,probability,parameters_json,estimated_period_s,parameter_at_bound,bound_indices_json,warning_count,warning_types_json,convergence_status,error
NWJ006725,stability,NWS000361,NW010_NULL_N030_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,580.0,0.0,,,0,1,M1,pow_const_gauss,OK,0.5930040000239387,30,b4a56e75d9cc868149c17b7ded8e91003aa07fc292f0a69f9b8ebe3e8b50dd15,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS001801,20.0,14,14,0.0016666666666666668,0.023333333333333334,43.32800632210525,-73.46072599613422,0.37243931802558716,0.7138386396832392,"[1.5418210382252193,3.513682143000101,-6.422235797885869,-6.791079562752185,-4.062642630466359,0.05]",58.127718369796426,True,[5],0,[],NOT_AUDITABLE,
NWJ006726,stability,NWS000361,NW010_NULL_N030_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,580.0,0.0,,,0,1,M2,bpow_const,OK,0.5127649999922141,30,b4a56e75d9cc868149c17b7ded8e91003aa07fc292f0a69f9b8ebe3e8b50dd15,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS001801,20.0,14,14,0.0016666666666666668,0.023333333333333334,42.306597550560284,-74.05696578265953,0.435138006169389,0.6917719078864125,"[-21.0660815186492,3.534825942118811,0.008333371098331573,1.659786014068746,-17.89183900328167]",,False,[],4,"[""RuntimeWarning: overflow encountered in exp""]",NOT_AUDITABLE,
NWJ002161,primary,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,880.0,0.0,,,0,0,M0,pow_const,OK,0.215808599954471,45,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801,20.0,22,22,0.0011111111111111111,0.024444444444444446,81.94411069468183,-157.70613648264703,0.7073682155558054,0.6178205843933422,"[1.5459670817359934,3.675533756453842,-5.791790775588334]",,False,[],0,[],NOT_AUDITABLE,
NWJ002162,primary,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,880.0,0.0,,,0,0,M1,pow_const_gauss,OK,0.5914552999893203,45,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801,20.0,22,22,0.0011111111111111111,0.024444444444444446,83.40451276468102,-151.35381326257044,0.48301059826425513,0.7595092394283791,"[1.7282741414227731,3.914713164003305,-5.937854287586784,-6.919065619374853,-4.4982511885579735,0.05]",89.85984588268029,True,[5],0,[],NOT_AUDITABLE,
NWJ002163,primary,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,880.0,0.0,,,0,0,M2,bpow_const,OK,0.4889824000420049,45,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801,20.0,22,22,0.0011111111111111111,0.024444444444444446,82.39659312251392,-152.42901643159456,0.6826831837377847,0.6210248917393291,"[-23.616364124148603,3.7093642207930593,0.0059608710217985035,1.0752272265962342,-19.24376698704012]",,False,[],9,"[""RuntimeWarning: overflow encountered in exp""]",NOT_AUDITABLE,
NWJ006967,stability,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,880.0,0.0,,,0,1,M0,pow_const,OK,0.22202279994962737,45,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801,20.0,22,22,0.0011111111111111111,0.024444444444444446,81.94411069468198,-157.70613648264734,0.7073682327267057,0.6178205714376711,"[1.5459669142271797,3.675533631116447,-5.791790817743027]",,False,[],0,[],NOT_AUDITABLE,
NWJ006968,stability,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,880.0,0.0,,,0,1,M1,pow_const_gauss,OK,0.6596923000179231,45,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801,20.0,22,22,0.0011111111111111111,0.024444444444444446,83.40451276473891,-151.35381326268623,0.4830093129367814,0.7595101906005762,"[1.7282782503416962,3.9147137592039667,-5.93785336008401,-6.919056964764308,-4.498251163417624,0.05]",89.8598436235724,True,[5],0,[],NOT_AUDITABLE,
NWJ006969,stability,NWS000721,NW019_NULL_N045_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,880.0,0.0,,,0,1,M2,bpow_const,OK,0.529569200007245,45,95338597bbadd841dde5cfe3f87b09bcac3aa640940b13654d92e6a5fafe618d,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS001801,20.0,22,22,0.0011111111111111111,0.024444444444444446,82.3965919201803,-152.42901402692735,0.6824613027999434,0.6211870732278768,"[-23.614013374459965,3.708941580441799,0.005961007930681184,1.0751928603245797,-17.528184237974386]",,False,[],2,"[""RuntimeWarning: overflow encountered in exp""]",NOT_AUDITABLE,
NWJ003241,primary,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1180.0,0.0,,,0,0,M0,pow_const,OK,0.22857889998704195,60,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801,20.0,29,29,0.0008333333333333334,0.02416666666666667,101.34116135705995,-195.94773105414694,0.2710841230772614,0.9621289600145099,"[1.7284158104421148,3.964449560924264,-5.1029286366286515]",,False,[],0,[],NOT_AUDITABLE,
NWJ003242,primary,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1180.0,0.0,,,0,0,M1,pow_const_gauss,OK,0.7142658000229858,60,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801,20.0,29,29,0.0008333333333333334,0.02416666666666667,102.01152071424721,-187.18656227856206,0.2620704426327588,0.9545394543581253,"[1.7258341306601501,3.938623250972552,-5.217868284410952,-6.823158173755454,-4.478456307384744,0.05]",88.09857053999087,True,[5],0,[],NOT_AUDITABLE,
