parent_id,block_id,ground_truth,period_s,qpp_fraction,red_noise_alpha,data_seed,n_sequence,selection_sequence,selection_interpretation,ever_selected,selected_n_count,number_of_up_transitions,number_of_down_transitions,first_selected_n,stable_selection_from_n,delta_bic_0_1_sequence_json,delta_bic_2_1_sequence_json,joint_margin_sequence_json,limiting_model_sequence
NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,,,0.0,0,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.561622028135144,-5.587365931211195,-6.352323220076585,-8.761168775584878,-4.885507893838394,-8.49877573261]","[-1.9160305444950447,-0.5962416743646344,-1.075203169024121,-2.2272181153460338,2.3556459682416175,-0.3442205031628305]","[-15.561622028135144,-15.587365931211195,-16.352323220076585,-18.761168775584878,-14.885507893838394,-18.49877573261]",M0|M0|M0|M0|M0|M0
NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,0,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.443737048729073,-2.8836462623518457,-6.775391884320328,-8.838756603774186,-4.932561671839835,-8.506409036995706]","[-2.0051506427300927,1.7835049675062464,-1.3693179827669724,-2.2924914499415365,2.3077738346725596,-0.36364537991255474]","[-15.443737048729073,-12.883646262351846,-16.775391884320328,-18.838756603774186,-14.932561671839835,-18.506409036995706]",M0|M0|M0|M0|M0|M0
NWP_A0_S00_P080,NWB_A0_S00,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,0,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.323246858274363,-6.295857720777548,-4.173600817619359,-7.894597725893163,-4.919601445816625,-8.502375028149686]","[-1.9256485345306045,-1.256776519832414,0.5482698576360576,-1.268422189236361,2.3217107749539423,-0.34783159432691946]","[-15.323246858274363,-16.295857720777548,-14.17360081761936,-17.894597725893163,-14.919601445816625,-18.502375028149686]",M0|M0|M0|M0|M0|M0
NWP_A0_S01_NULL,NWB_A0_S01,NULL_FLARE_RED_NOISE,,,0.0,1,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.588803655786883,-6.307954285058628,-6.646649741860358,-6.163212013599036,-6.597055503175881,-5.763431140931971]","[-1.907589404768836,-1.252829836868358,-0.7537977786491297,-0.5618610009989595,0.22820550948515006,2.361339287326132]","[-15.588803655786883,-16.307954285058628,-16.646649741860358,-16.163212013599036,-16.59705550317588,-15.76343114093197]",M0|M0|M0|M0|M0|M0
NWP_A0_S01_P050,NWB_A0_S01,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,1,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.291902844876466,-5.0685313742897335,-6.1250529309118065,-6.573746237302856,-6.600748202955032,-5.7649979203311545]","[-1.5384391074245132,-0.6447545678584703,-0.5393923504991278,-0.9593349024147244,0.22591546197932644,2.359676818025889]","[-15.291902844876466,-15.068531374289734,-16.125052930911806,-16.573746237302856,-16.60074820295503,-15.764997920331155]",M0|M0|M0|M0|M0|M0
NWP_A0_S01_P080,NWB_A0_S01,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,1,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.3545671251548725,-6.724736694223566,-7.452306461249719,-6.626900932876936,-6.613729000268478,-5.772185097614965]","[-1.791752890780626,-1.6774132956941088,-2.131455413373118,-0.8239488461676956,0.20128442261378154,2.3525722883557023]","[-15.354567125154873,-16.724736694223566,-17.45230646124972,-16.626900932876936,-16.613729000268478,-15.772185097614965]",M0|M0|M0|M0|M0|M0
NWP_A0_S02_NULL,NWB_A0_S02,NULL_FLARE_RED_NOISE,,,0.0,2,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.587888471289755,-4.970435145896204,-7.483156021411332,1.8444149722410543,-8.227797945703173,-4.988304242971765]","[-1.9588987795165336,0.23467247916553902,-2.30221184927089,7.699320965452387,-0.7070330796017288,3.1664749499825575]","[-15.587888471289755,-14.970435145896204,-17.483156021411332,-8.155585027758946,-18.227797945703173,-14.988304242971765]",M0|M0|M0|M0|M0|M0
NWP_A0_S02_P050,NWB_A0_S02,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,2,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.450969954211905,-3.1566524333554042,-7.213197094209363,0.595960467506444,-8.24012053310571,-5.02506662364317]","[-1.6067894763100616,1.8991353397152295,-2.220119983821462,6.478015529810932,-0.8368613211000024,3.1296619215854093]","[-15.450969954211905,-13.156652433355404,-17.213197094209363,-9.404039532493556,-18.24012053310571,-15.02506662364317]",M0|M0|M0|M0|M0|M0
NWP_A0_S02_P080,NWB_A0_S02,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,2,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.705336831056375,-5.721724151932449,-8.012222431927796,1.3429189878467014,-8.224940535389692,-4.981973932226197]","[-1.9676236865175545,-1.1143938147367578,-2.6204286612202736,7.800125209143829,-0.7047281327563155,3.1727575080324755]","[-15.705336831056375,-15.721724151932449,-18.012222431927796,-8.657081012153299,-18.224940535389692,-14.981973932226197]",M0|M0|M0|M0|M0|M0
NWP_A0_S03_NULL,NWB_A0_S03,NULL_FLARE_RED_NOISE,,,0.0,3,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.564731785663897,-6.036416737403044,-3.431801783658841,-4.419364151048967,-0.264035222187772,-2.5642003795654773]","[-1.7911072847520684,-1.18678595968656,1.4849191565123192,1.8381383463829195,3.6102623732513734,5.286543374254336]","[-15.564731785663897,-16.036416737403044,-13.431801783658841,-14.419364151048967,-10.264035222187772,-12.564200379565477]",M0|M0|M0|M0|M0|M0
NWP_A0_S03_P050,NWB_A0_S03,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,3,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.531694591767382,-7.397950395053613,-3.2424080276131235,-4.554552799301803,-0.2708696952001901,-2.5511303763250908]","[-1.9388709455899145,-2.308410065536279,1.8053427459767875,2.1309071840800016,3.591161070979183,5.286155585398944]","[-15.531694591767382,-17.397950395053613,-13.242408027613124,-14.554552799301803,-10.27086969520019,-12.55113037632509]",M0|M0|M0|M0|M0|M0
NWP_A0_S03_P080,NWB_A0_S03,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,3,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.304604117006477,-6.1472215976425275,-4.209398259791129,-4.625397530715446,-0.3078731956616707,-2.5638946996297705]","[-1.8898107792434837,-1.3541754598554547,0.8010039153415107,1.6390252976470094,3.579430695494466,5.273507664279123]","[-15.304604117006477,-16.147221597642528,-14.20939825979113,-14.625397530715446,-10.30787319566167,-12.56389469962977]",M0|M0|M0|M0|M0|M0
NWP_A0_S04_NULL,NWB_A0_S04,NULL_FLARE_RED_NOISE,,,0.0,4,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.55210509448221,-7.077704819345527,-6.7172381400258985,-5.54771385429072,-7.942933860873097,-8.552800068653369]","[-1.9246249851452264,-2.0339681511828616,-0.7744870661231005,-0.17360746379500824,-1.078278840198152,-0.4217939050167274]","[-15.55210509448221,-17.077704819345527,-16.7172381400259,-15.54771385429072,-17.942933860873097,-18.55280006865337]",M0|M0|M0|M0|M0|M0
NWP_A0_S04_P050,NWB_A0_S04,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,4,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.275307240972076,-7.177725139601122,-7.072602754376533,-5.821947075602509,-7.965648942161636,-8.506594036036631]","[-1.8987089026355628,-2.306246566941752,-1.038628980517018,-0.385107218863169,-1.092433882761327,-0.8871593798618846]","[-15.275307240972076,-17.177725139601122,-17.072602754376533,-15.821947075602509,-17.965648942161636,-18.50659403603663]",M0|M0|M0|M0|M0|M0
NWP_A0_S04_P080,NWB_A0_S04,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,4,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.5558614638410155,-6.370779031189741,-6.105457437987155,-5.41225365823513,-8.338389329732422,-8.538809316497463]","[-1.7601426536869367,-1.4754002620988302,-0.1042095228991684,0.09802764398281738,-1.4652684764193964,-0.9194164922806749]","[-15.555861463841016,-16.37077903118974,-16.105457437987155,-15.41225365823513,-18.338389329732422,-18.538809316497463]",M0|M0|M0|M0|M0|M0
NWP_A0_S05_NULL,NWB_A0_S05,NULL_FLARE_RED_NOISE,,,0.0,5,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.459375238130237,-6.40341738656619,-4.673687483226871,-4.266905475517888,2.854115811360998,-6.168437794179624]","[-1.9458853428968554,-1.4556589849687214,-0.9138105169161008,1.0985984197000107,10.140559458249243,1.755862609972894]","[-15.459375238130237,-16.40341738656619,-14.673687483226871,-14.266905475517888,-7.145884188639002,-16.168437794179624]",M0|M0|M0|M0|M0|M0
NWP_A0_S05_P050,NWB_A0_S05,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,5,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.624136692588163,-6.806000307650564,-5.015091972293419,-4.49593993582954,2.7884214996719834,-7.117220183360416]","[-1.9127760579989088,-1.6794369890845076,-0.8983705086147324,1.9920589409277625,10.077801362677974,0.8069558625606419]","[-15.624136692588163,-16.806000307650564,-15.015091972293419,-14.49593993582954,-7.211578500328017,-17.117220183360416]",M0|M0|M0|M0|M0|M0
NWP_A0_S05_P080,NWB_A0_S05,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,5,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.0842687811535665,-6.008695586872989,-5.452834928566176,-4.796990783009676,2.6035653680472137,-6.180884111802072]","[-1.9440450847547899,-1.2394075324328213,-0.950847440082299,0.6840082660015128,9.895458142133464,1.7424518299786769]","[-15.084268781153567,-16.00869558687299,-15.452834928566176,-14.796990783009676,-7.396434631952786,-16.180884111802072]",M0|M0|M0|M0|M0|M0
NWP_A0_S06_NULL,NWB_A0_S06,NULL_FLARE_RED_NOISE,,,0.0,6,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.512492078447227,-2.893220398188646,-6.8247525255982,-5.344032929512252,-6.66528059368045,-2.7741668315683228]","[-1.9486226512717915,2.1613824459541604,-2.418399624564074,0.46131479535245035,-0.9712729983439772,2.2810245010076073]","[-15.512492078447227,-12.893220398188646,-16.8247525255982,-15.344032929512252,-16.66528059368045,-12.774166831568323]",M0|M0|M0|M0|M0|M0
NWP_A0_S06_P050,NWB_A0_S06,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,6,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.378473177006345,-2.4542390050624476,-6.371140357796605,-5.01831476405161,-6.6674780766790605,-2.772756920621987]","[-1.7379394389473743,2.5567429602961056,-0.8153673046316783,0.8056413006688388,-0.9683627427968418,2.2842023035099146]","[-15.378473177006345,-12.454239005062448,-16.371140357796605,-15.01831476405161,-16.66747807667906,-12.772756920621987]",M0|M0|M0|M0|M0|M0
NWP_A0_S06_P080,NWB_A0_S06,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,6,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.684859917520427,-4.048943795230073,-7.840879804984496,-6.41394784703985,-6.6801974379839635,-2.7751539960008813]","[-1.9889715480742245,0.7232385668556134,-3.1430363519787363,-0.49509255616854375,-0.9610202370639627,2.2920740240562623]","[-15.684859917520427,-14.048943795230073,-17.840879804984496,-16.41394784703985,-16.680197437983963,-12.775153996000881]",M0|M0|M0|M0|M0|M0
NWP_A0_S07_NULL,NWB_A0_S07,NULL_FLARE_RED_NOISE,,,0.0,7,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.436816860076387,-7.336109488279433,-7.079528008459874,-3.2381864840005505,3.7504116968026437,0.114164840768467]","[-1.9212095379791938,-2.3409026939818744,-1.1949987572425016,3.281824661445455,10.865375071611481,8.169976852583147]","[-15.436816860076387,-17.336109488279433,-17.079528008459874,-13.23818648400055,-6.249588303197356,-9.885835159231533]",M0|M0|M0|M0|M0|M0
NWP_A0_S07_P050,NWB_A0_S07,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,7,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.403247679975422,-5.262448145980599,-6.865031214045473,-3.5037240993729313,3.678275969802314,0.10732056545504065]","[-1.7794964788572463,-0.5092305890884603,-1.1742917939294557,2.957955993634613,10.793656436154322,8.248462055957134]","[-15.403247679975422,-15.2624481459806,-16.865031214045473,-13.503724099372931,-6.321724030197686,-9.89267943454496]",M0|M0|M0|M0|M0|M0
NWP_A0_S07_P080,NWB_A0_S07,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,7,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.651317502958742,-6.7957074609164465,-7.916479601878308,-4.7841173070003435,3.538103355486328,0.05176958744999638]","[-1.8990635713679618,-1.921484868179732,-1.9845120088495776,1.6765897051893148,10.65378452380628,8.109017543507264]","[-15.651317502958742,-16.795707460916447,-17.916479601878308,-14.784117307000344,-6.461896644513672,-9.948230412550004]",M0|M0|M0|M0|M0|M0
NWP_A0_S08_NULL,NWB_A0_S08,NULL_FLARE_RED_NOISE,,,0.0,8,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.467460081072264,-6.209613759857831,-2.153706352234508,-1.8432307095715146,-8.226561566074906,-10.379904146204069]","[-1.9375089409746566,-1.2537485418862246,2.350450566130803,1.1965659358139078,-2.088564642393294,-2.257286433555805]","[-15.467460081072264,-16.20961375985783,-12.153706352234508,-11.843230709571515,-18.226561566074906,-20.37990414620407]",M0|M0|M0|M0|M0|M0
NWP_A0_S08_P050,NWB_A0_S08,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,8,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.312094752894447,-2.550111972853415,-0.5124328227543913,-2.9091695866796954,-8.23927434969471,-10.385449509304692]","[-1.6925178788233621,2.276996786456934,3.0026905469804603,-0.15634393908754873,-2.0712502997311617,-2.2621706520164935]","[-15.312094752894447,-12.550111972853415,-10.512432822754391,-12.909169586679695,-18.23927434969471,-20.385449509304692]",M0|M0|M0|M0|M0|M0
NWP_A0_S08_P080,NWB_A0_S08,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,8,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.688018414325709,-3.8270820872949116,0.5713614770097024,-0.06476996733547935,-8.248148924607563,-10.388217109160962]","[-1.9261705718298616,0.9004797475946589,5.165613558014002,2.8089358221088787,-2.1006194386484935,-2.264773451405574]","[-15.68801841432571,-13.827082087294912,-9.428638522990298,-10.06476996733548,-18.248148924607563,-20.388217109160962]",M0|M0|M0|M0|M0|M0
NWP_A0_S09_NULL,NWB_A0_S09,NULL_FLARE_RED_NOISE,,,0.0,9,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.599759746547242,-6.372315927437327,-5.0600499144890705,-5.264957874303917,-8.598817927282482,-9.799518035974245]","[-1.9784270164764033,-1.2235193373426227,0.03860954878774692,-0.5072284876542881,-2.049574106778266,-1.713972756285159]","[-15.599759746547242,-16.372315927437327,-15.06004991448907,-15.264957874303917,-18.598817927282482,-19.799518035974245]",M0|M0|M0|M0|M0|M0
NWP_A0_S09_P050,NWB_A0_S09,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,9,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.702347323598913,-6.4619946400565595,-2.591766577294095,-4.935808417501477,-8.577745153917533,-9.798656754227352]","[-1.973115875547001,-1.7458770300039532,2.007608653270381,-0.15227995733212651,-2.0279421918511957,-2.1412069259731084]","[-15.702347323598913,-16.46199464005656,-12.591766577294095,-14.935808417501477,-18.577745153917533,-19.798656754227352]",M0|M0|M0|M0|M0|M0
NWP_A0_S09_P080,NWB_A0_S09,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,9,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.397705797611504,-5.667907335308286,-4.840289919454193,-4.8762709158810935,-8.484707660266167,-9.80155084436177]","[-1.8582260741993357,-0.6074822363700605,0.010978813574354263,-0.10829271405671648,-1.935014051481744,-2.1435317847433453]","[-15.397705797611504,-15.667907335308286,-14.840289919454193,-14.876270915881094,-18.484707660266167,-19.80155084436177]",M0|M0|M0|M0|M0|M0
NWP_A0_S10_NULL,NWB_A0_S10,NULL_FLARE_RED_NOISE,,,0.0,10,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.512188198020272,-7.1412664269280555,-7.098590563390303,-4.324770110873317,-10.34551624452152,-8.051514061418914]","[-1.9691011018168583,-2.0870179363213026,-1.6634873091800273,1.713098447540915,-2.991740881481036,-0.43785145315104046]","[-15.512188198020272,-17.141266426928055,-17.098590563390303,-14.324770110873317,-20.34551624452152,-18.051514061418914]",M0|M0|M0|M0|M0|M0
NWP_A0_S10_P050,NWB_A0_S10,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,10,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.133225252870213,-7.076235082105626,-7.884810625532481,-4.9169167148767485,-10.677425072490365,-8.0300665508787]","[-1.7796277165804169,-2.1896048007504305,-2.2252719358221213,1.110947519224851,-3.129501320325886,-0.4147873602922232]","[-15.133225252870213,-17.076235082105626,-17.88481062553248,-14.916916714876749,-20.677425072490365,-18.0300665508787]",M0|M0|M0|M0|M0|M0
NWP_A0_S10_P080,NWB_A0_S10,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,10,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.5348629754214596,-6.990351627185717,-6.25696899073543,-3.7715368831461262,-10.343721867763719,-8.055238814406607]","[-1.8512859376242448,-2.001941836155737,-0.7678276004719464,2.241529332090664,-2.7960809716522306,-0.4399678363313342]","[-15.53486297542146,-16.990351627185717,-16.25696899073543,-13.771536883146126,-20.34372186776372,-18.055238814406607]",M0|M0|M0|M0|M0|M0
NWP_A0_S11_NULL,NWB_A0_S11,NULL_FLARE_RED_NOISE,,,0.0,11,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.559263974204665,-6.526323059447876,-6.483552085512059,-0.6348495077414213,-3.5628677444161667,-7.297571168425691]","[-1.9256363109989172,-1.4696714500398826,-0.7834178750306648,4.935360560202724,3.4800091554099595,0.35414256635766606]","[-15.559263974204665,-16.526323059447876,-16.48355208551206,-10.634849507741421,-13.562867744416167,-17.29757116842569]",M0|M0|M0|M0|M0|M0
NWP_A0_S11_P050,NWB_A0_S11,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,11,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.2671944603754515,-4.0301070524962626,-7.535494347955506,-1.2945404431806935,-3.6584300559537155,-7.325337599179079]","[-1.5466646459421929,0.726650402134652,-1.4893508367129584,4.549539056313307,3.403681852280897,0.3334772092242133]","[-15.267194460375451,-14.030107052496263,-17.535494347955506,-11.294540443180694,-13.658430055953716,-17.32533759917908]",M0|M0|M0|M0|M0|M0
NWP_A0_S11_P080,NWB_A0_S11,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,11,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.6000155314817,-6.0288622845884845,-4.14000239731655,0.8596951214059914,-2.966644996773482,-7.155209347942559]","[-1.7772002520184804,-1.1855289398565532,1.212924011483608,6.3854146645450385,4.077192074894583,0.5033631843283501]","[-15.6000155314817,-16.028862284588484,-14.14000239731655,-9.140304878594009,-12.966644996773482,-17.15520934794256]",M0|M0|M0|M0|M0|M0
NWP_A0_S12_NULL,NWB_A0_S12,NULL_FLARE_RED_NOISE,,,0.0,12,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.6591158035814715,-7.247205681194259,-6.925541091254161,-6.251178510219944,-8.387766625066718,-4.838633281134889]","[-1.919288090305062,-2.1668317311627447,-0.878725713648862,0.18736172853206767,-1.1177471778194672,3.2835123758056284]","[-15.659115803581471,-17.24720568119426,-16.92554109125416,-16.251178510219944,-18.387766625066718,-14.83863328113489]",M0|M0|M0|M0|M0|M0
NWP_A0_S12_P050,NWB_A0_S12,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,12,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.46052371821666,-7.711932019475327,-6.8702606332804805,-6.192352186681603,-8.39062574212329,-4.840468768844175]","[-1.9778452745613793,-2.667728444885114,-0.8468686283678721,0.2398385708225419,-0.9225859557876106,3.28151131444082]","[-15.46052371821666,-17.711932019475327,-16.87026063328048,-16.192352186681603,-18.39062574212329,-14.840468768844175]",M0|M0|M0|M0|M0|M0
NWP_A0_S12_P080,NWB_A0_S12,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,12,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.557410310059257,-6.863338277280235,-7.01521362334563,-6.352769726997536,-8.358686429086504,-4.809223133717353]","[-1.942516932331551,-2.1472579459828296,-1.0112244634453305,0.09194366156816614,-1.0883230318181631,3.3245667561875507]","[-15.557410310059257,-16.863338277280235,-17.01521362334563,-16.352769726997536,-18.358686429086504,-14.809223133717353]",M0|M0|M0|M0|M0|M0
NWP_A0_S13_NULL,NWB_A0_S13,NULL_FLARE_RED_NOISE,,,0.0,13,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.565800577319235,-6.013656593945512,-5.052754694790281,-7.569675332798653,-8.333810731251845,-6.710192188881251]","[-1.9169970862751997,-1.1335651936831113,-0.08526249155329424,-1.7705706591968635,-1.3187012527154707,1.3008924779160225]","[-15.565800577319235,-16.013656593945512,-15.05275469479028,-17.569675332798653,-18.333810731251845,-16.71019218888125]",M0|M0|M0|M0|M0|M0
NWP_A0_S13_P050,NWB_A0_S13,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,13,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.1039595446157175,-7.0429335654769005,-5.4593333736901855,-7.5815013298428084,-8.323536960221475,-6.722526993946701]","[-1.6408595121448295,-2.0744631722303524,-0.5081192313325005,-1.782407759402929,-1.307836518006468,1.2883207703363269]","[-15.103959544615718,-17.0429335654769,-15.459333373690185,-17.58150132984281,-18.323536960221475,-16.7225269939467]",M0|M0|M0|M0|M0|M0
NWP_A0_S13_P080,NWB_A0_S13,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,13,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.605159318681423,-6.527518573589816,-5.294632599387057,-7.337723880118546,-8.321549567478144,-6.704465907000213]","[-1.8570928302496794,-1.7128409281956891,-0.4162385656583183,-1.5532338995820965,-1.3095679370168227,1.3077014237559865]","[-15.605159318681423,-16.527518573589816,-15.294632599387057,-17.337723880118546,-18.321549567478144,-16.704465907000213]",M0|M0|M0|M0|M0|M0
NWP_A0_S14_NULL,NWB_A0_S14,NULL_FLARE_RED_NOISE,,,0.0,14,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.578151423358463,-6.47938347935154,-6.505433425082458,-7.791409239849145,-8.154589621973003,-5.899017237018427]","[-1.9367661754528323,-1.4906598596565317,-0.6609877488206166,-1.6067342312765902,-0.8794619341512657,1.4428902126853131]","[-15.578151423358463,-16.47938347935154,-16.505433425082458,-17.791409239849145,-18.154589621973003,-15.899017237018427]",M0|M0|M0|M0|M0|M0
NWP_A0_S14_P050,NWB_A0_S14,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,14,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.39296608327189,-6.827495510221439,-6.367907972080388,-7.070022832164909,-8.197368419286192,-5.925791047550035]","[-1.8691039726022067,-1.7322840936752044,-0.8290887658122301,-0.4468119735270477,-0.9101328520349625,1.4248275525758345]","[-15.39296608327189,-16.82749551022144,-16.36790797208039,-17.07002283216491,-18.197368419286192,-15.925791047550035]",M0|M0|M0|M0|M0|M0
NWP_A0_S14_P080,NWB_A0_S14,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,14,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.632986323982532,-5.913081341461421,-5.752415586498046,-7.997266755999789,-8.108717091527296,-5.8543381482447785]","[-1.960816359832127,-0.9725446502474995,-0.08563427669855628,-1.7331794393432745,-0.842277249076119,1.4874077168711324]","[-15.632986323982532,-15.913081341461421,-15.752415586498046,-17.99726675599979,-18.108717091527296,-15.854338148244778]",M0|M0|M0|M0|M0|M0
NWP_A0_S15_NULL,NWB_A0_S15,NULL_FLARE_RED_NOISE,,,0.0,15,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.5336571812673,-4.003738549986252,-6.869044016733113,-6.6697876711884305,-3.134403364722175,0.9009342500133357]","[-1.8489147552052598,0.9871024626348799,-1.0611286975900498,-1.748820099750077,3.864090447944818,9.054459288288058]","[-15.5336571812673,-14.003738549986252,-16.869044016733113,-16.66978767118843,-13.134403364722175,-9.099065749986664]",M0|M0|M0|M0|M0|M0
NWP_A0_S15_P050,NWB_A0_S15,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,15,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.445676287562241,-5.382713574231232,-7.4582175406298745,-6.521500307892438,-3.0481686882487224,0.9180048814224051]","[-1.6888124422040791,-0.3504137749281142,-1.6977790303211293,-1.708494491735621,3.9468831364450807,9.071470810906646]","[-15.445676287562241,-15.382713574231232,-17.458217540629875,-16.52150030789244,-13.048168688248722,-9.081995118577595]",M0|M0|M0|M0|M0|M0
NWP_A0_S15_P080,NWB_A0_S15,STATIONARY_QPP_PRESENT,80.0,0.04,0.0,15,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.535310876005639,-3.0095818982499623,-6.763080996482216,-6.009616288888168,-3.0089522806956097,0.940907000565403]","[-1.9399605489135991,2.102914910976537,-1.053018831004863,-1.2283231347787478,3.992358804070534,9.094375129881541]","[-15.535310876005639,-13.009581898249962,-16.763080996482216,-16.009616288888168,-13.00895228069561,-9.059092999434597]",M0|M0|M0|M0|M0|M0
NWP_A0_S16_NULL,NWB_A0_S16,NULL_FLARE_RED_NOISE,,,0.0,16,15|30|45|60|90|120,000000,synthetic false selection,False,0,0,0,,,"[-5.715991558415366,-6.22191673964673,-8.765115974169703,-8.23121228108451,-9.863616781532698,-10.474883851817935]","[-1.8757338316297085,-1.4814953905782602,-2.9021863369551966,-2.011639160408805,-3.363762686427208,-2.3474181534265313]","[-15.715991558415366,-16.22191673964673,-18.765115974169703,-18.23121228108451,-19.8636167815327,-20.474883851817935]",M0|M0|M0|M0|M0|M0
NWP_A0_S16_P050,NWB_A0_S16,STATIONARY_QPP_PRESENT,50.0,0.04,0.0,16,15|30|45|60|90|120,000000,injected QPP selection,False,0,0,0,,,"[-5.29997377876321,-5.273312953951404,-8.661363522384931,-8.351814646463481,-9.873122813820657,-10.483630824232591]","[-1.951522683274912,-0.7855758301802354,-2.815238768461313,-2.0431253574601556,-3.375305876548566,-2.356317166421036]","[-15.29997377876321,-15.273312953951404,-18.66136352238493,-18.35181464646348,-19.873122813820657,-20.48363082423259]",M0|M0|M0|M0|M0|M0
