parent_id,block_id,ground_truth,red_noise_alpha,data_seed,period_s,qpp_fraction,parent_n_samples,time_sha256,envelope_sha256,noise_sha256,phase_float64_sha256,qpp_component_sha256,parent_flux_sha256,all_finite,flux_mean,flux_std_ddof1,flux_min,flux_max,construction_status,error
NWP_A2_S11_P050,NWB_A2_S11,STATIONARY_QPP_PRESENT,2,11,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,c4a097fb5807310a57e02ab9a7df3d382d96680cbc6550f65a70ad5a9c32ff96,af52436b79695a439a2025b95ef9e6cf8c07a69fdb16afbcf5dc0d9b3cfbe9a3,b8b96f738f91bac0823b13fc3733edf8a5dc386318552a4c525f650e4d908b89,f6e4ba2040503419df2b33fd13ab4e324ee9387d55e1761e6daa3738d132a7ab,True,1.0204601623925629,0.070945437002344833,0.99024529869568656,1.4899067436503708,OK,
NWP_A2_S11_P080,NWB_A2_S11,STATIONARY_QPP_PRESENT,2,11,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,c4a097fb5807310a57e02ab9a7df3d382d96680cbc6550f65a70ad5a9c32ff96,af52436b79695a439a2025b95ef9e6cf8c07a69fdb16afbcf5dc0d9b3cfbe9a3,8a6a9d11a6b20d677225bb9bb9c955ce4ac8ab632b02cb7ab0170f60d850dbc6,a9d7dec339cec034e4d0193ec1fc57d66a96bfbe814c03ba477029f2f8f79200,True,1.0204137496745449,0.070606910247670129,0.99024529976166875,1.4899067436503708,OK,
NWP_A2_S12_NULL,NWB_A2_S12,NULL_FLARE_RED_NOISE,2,12,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,1bb01d1a5bf6676b6bdbc405297e6f48f7cbc803b981646e49ac5a17d506a807,5e80c9236db9cc975938e28ff5845a223c8c4f8fa5d391a313307e8cd3daa739,,e529779019e428fb3e292d779fbe15fed3cdf50c3b72f8d0506481fec85b326c,True,1.0205013742233473,0.071747119044881416,0.99217421878511813,1.4991759296410359,OK,
NWP_A2_S12_P050,NWB_A2_S12,STATIONARY_QPP_PRESENT,2,12,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,1bb01d1a5bf6676b6bdbc405297e6f48f7cbc803b981646e49ac5a17d506a807,5e80c9236db9cc975938e28ff5845a223c8c4f8fa5d391a313307e8cd3daa739,5cccdd2468dbbefdcc6ee8ece61a81f750416e9f34829232e871078996ecbd00,3cec14a03176968b1a221d114557bf0884062bbae7e3e10f459d2a26f3f0632c,True,1.0205658605057506,0.072380574457726013,0.99217421710457021,1.5180339542306205,OK,
NWP_A2_S12_P080,NWB_A2_S12,STATIONARY_QPP_PRESENT,2,12,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,1bb01d1a5bf6676b6bdbc405297e6f48f7cbc803b981646e49ac5a17d506a807,5e80c9236db9cc975938e28ff5845a223c8c4f8fa5d391a313307e8cd3daa739,d0b880e05fa1b3ad6c622e24ae94dcbb6bafd117f63ff7ed1f06c011c5f43995,cb790d860c69dd5c375d6b92b0de403f5a7d16eb10628ac0c8efe8841724577e,True,1.0205759525579201,0.072392890891213799,0.99217419674641749,1.5180339542306205,OK,
NWP_A2_S13_NULL,NWB_A2_S13,NULL_FLARE_RED_NOISE,2,13,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,e6866cfb3aa4081c31845c2589eceb9ae5b05dbb3f3cbb9b9d040b8525f92801,c00c6c60308b2efb307e0b6e7cf5d4e0a52b936fbf4a7d90aa39ccfef6930f1e,,6cca16658fabf97de854951b3becdfd62de7a10389e511c5ef94088ca9d319ce,True,1.0205013742233473,0.072697543606159834,0.99045278099952827,1.5058578847439954,OK,
NWP_A2_S13_P050,NWB_A2_S13,STATIONARY_QPP_PRESENT,2,13,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,e6866cfb3aa4081c31845c2589eceb9ae5b05dbb3f3cbb9b9d040b8525f92801,c00c6c60308b2efb307e0b6e7cf5d4e0a52b936fbf4a7d90aa39ccfef6930f1e,9344b3497fa422be95e6c38baa2223594d9835a5f712646d394eed4aea5ea636,0a9a521f72dbfa99887c1606489a8c6299a29095554afba6d44dd2a3fee0be71,True,1.0205759639023104,0.073434375906211796,0.99045277448914715,1.5253742743370582,OK,
NWP_A2_S13_P080,NWB_A2_S13,STATIONARY_QPP_PRESENT,2,13,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,e6866cfb3aa4081c31845c2589eceb9ae5b05dbb3f3cbb9b9d040b8525f92801,c00c6c60308b2efb307e0b6e7cf5d4e0a52b936fbf4a7d90aa39ccfef6930f1e,3567171f76e2c527ee498f5f977b59da2b462275a112400a90cf835579674758,44cb5bff79d0f236d37bb7450b231fa4d848f2557e5563ab7ba1fece16e85bbe,True,1.0206088973992709,0.073629386102847597,0.99045278315243945,1.5253742743370582,OK,
NWP_A2_S14_NULL,NWB_A2_S14,NULL_FLARE_RED_NOISE,2,14,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,6f916a0520897a997dfcf247d1e99586ae5acf548359921a58a9ed2e5cbadd9c,794e66ad5d613a256d033428960a718c83be449920a09d04f81f3b0396533e65,,edcf5e0a61d7590c10616f23ca7f6a2f24e400e33da4f2fb9f28981fbd32176f,True,1.0205013742233471,0.073319865694169123,0.98917482828778946,1.5071460979705023,OK,
NWP_A2_S14_P050,NWB_A2_S14,STATIONARY_QPP_PRESENT,2,14,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,6f916a0520897a997dfcf247d1e99586ae5acf548359921a58a9ed2e5cbadd9c,794e66ad5d613a256d033428960a718c83be449920a09d04f81f3b0396533e65,bb17b7c39029c7ba0d5ce2462f6fbc31d60841da7a942f92f22742c858ebdd5f,264fb45f792fbfaebbb8db60ae8155d505926794d3a3aa0273cd161170833d37,True,1.0204531898767653,0.072924738261719649,0.98917482820477876,1.4916075581366743,OK,
