condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,decision_count,optimizer_seeds,decision_sequence,selected_seed_count,primary_seed_selected,stability_seeds_selected_count,optimizer_seed_decision_discordance,bic_range_m0,bic_range_m1,bic_range_m2,m2_multiple_solution_flag,all_decisions_valid
NW024_QPP_N045_P080_A1_Q040,STATIONARY_QPP_PRESENT,45,880.0,1.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,5.286437954055145e-12,5.407343905972084e-09,1.251499554655311e-05,False,True
NW025_NULL_N045_A2,NULL_FLARE_RED_NOISE,45,880.0,2.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,2.2112089936854318e-11,1.5451493595719512e-07,0.11035285588974375,True,True
NW026_QPP_N045_P050_A2_Q040,STATIONARY_QPP_PRESENT,45,880.0,2.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,7.048583938740194e-11,4.99622387906129e-09,0.434665115518726,True,True
NW027_QPP_N045_P080_A2_Q040,STATIONARY_QPP_PRESENT,45,880.0,2.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.000444171950221e-11,6.233825615709065e-07,0.21732114510001566,True,True
NW028_NULL_N060_A0,NULL_FLARE_RED_NOISE,60,1180.0,0.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,8.100187187665142e-12,1.2102844948458369e-08,0.18636666446772665,True,True
NW029_QPP_N060_P050_A0_Q040,STATIONARY_QPP_PRESENT,60,1180.0,0.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.0373923942097463e-11,8.517986316292081e-10,0.18832742801549784,True,True
NW030_QPP_N060_P080_A0_Q040,STATIONARY_QPP_PRESENT,60,1180.0,0.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.3102408047416247e-11,2.4155042410711758e-09,0.1461857891934244,True,True
NW031_NULL_N060_A1,NULL_FLARE_RED_NOISE,60,1180.0,1.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.6569856597925536e-11,7.889070730016101e-08,2.4297704044329294e-06,False,True
NW032_QPP_N060_P050_A1_Q040,STATIONARY_QPP_PRESENT,60,1180.0,1.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.233502189279534e-11,7.23383948297851e-08,5.044023367872796e-06,False,True
NW033_QPP_N060_P080_A1_Q040,STATIONARY_QPP_PRESENT,60,1180.0,1.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,4.945377440890297e-12,4.6288312205433613e-07,2.0950008661202446e-06,False,True
NW034_NULL_N060_A2,NULL_FLARE_RED_NOISE,60,1180.0,2.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,3.751665644813329e-12,0.2787259752360569,0.3852424080857304,True,True
NW035_QPP_N060_P050_A2_Q040,STATIONARY_QPP_PRESENT,60,1180.0,2.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,8.924416761146858e-12,4.668834208132466e-09,0.3832047778936385,True,True
NW036_QPP_N060_P080_A2_Q040,STATIONARY_QPP_PRESENT,60,1180.0,2.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,6.366462912410498e-12,3.4277201166332816e-07,0.30352926455367424,True,True
NW037_NULL_N090_A0,NULL_FLARE_RED_NOISE,90,1780.0,0.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,2.2509993868879974e-11,9.916902854456566e-09,0.31623943915218433,True,True
NW038_QPP_N090_P050_A0_Q040,STATIONARY_QPP_PRESENT,90,1780.0,0.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.8189894035458565e-11,4.697881195170339e-09,0.3169559455585045,True,True
NW039_QPP_N090_P080_A0_Q040,STATIONARY_QPP_PRESENT,90,1780.0,0.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,9.492850949754938e-12,4.12671852245694e-09,0.3161729975817025,True,True
